onset	duration	trial_type	fixdur	fixrank
11.02	0	targetsT2	318	4
13.808	0	targetsT2	206	11
14.708	0	targetsD2	358	14
15.088	0	targetsD2	396	15
42.42	0	targetsT2	288	2
45.378	0	targetsT2	476	10
64.984	0	targetsT1	270	8
80.048	0	targetsT3	304	2
80.77	0	targetsT3	348	4
81.566	0	targetsT3	156	6
82.074	0	targetsT3	256	8
99.736	0	targetsT2	442	14
100.206	0	targetsD2	250	15
101.574	0	targetsT2	394	19
131.972	0	targetsD2	292	1
132.286	0	targetsD2	294	2
132.878	0	targetsD2	192	4
134.52	0	targetsD2	322	10
134.876	0	targetsD2	330	11
135.228	0	targetsD2	282	12
135.536	0	targetsD2	304	13
135.886	0	targetsD2	308	14
136.23	0	targetsT2	490	15
138.19	0	targetsD2	280	19
165.778	0	targetsT1	188	4
166.472	0	targetsT1	298	6
212.156	0	targetsD3	344	4
212.522	0	targetsT3	548	5
213.098	0	targetsD3	344	6
213.782	0	targetsD3	396	8
214.528	0	targetsD3	522	10
215.352	0	targetsD3	402	12
216.142	0	targetsT3	272	14
216.436	0	targetsT3	302	15
216.764	0	targetsT3	452	16
228.142	0	targetsT3	338	4
229.028	0	targetsD3	350	6
230.416	0	targetsD3	306	10
231.102	0	targetsT3	266	12
231.87	0	targetsD3	412	14
232.304	0	targetsD3	346	15
232.67	0	targetsD3	280	16
248.16	0	targetsT2	358	4
251.304	0	targetsT2	570	13
252.312	0	targetsT2	686	15
266.878	0	targetsD1	258	1
267.73	0	targetsD1	584	3
268.336	0	targetsD1	382	4
268.746	0	targetsT1	230	5
269	0	targetsD1	220	6
269.24	0	targetsT1	220	7
269.504	0	targetsD1	592	8
272.182	0	targetsD1	384	15
272.596	0	targetsD1	414	16
283.296	0	targetsD3	322	2
283.636	0	targetsD3	358	3
284.02	0	targetsD3	382	4
284.426	0	targetsD3	224	5
284.67	0	targetsT3	380	6
285.46	0	targetsD3	316	8
285.802	0	targetsT3	510	9
286.346	0	targetsT3	576	10
300.172	0	targetsT3	330	4
300.888	0	targetsT3	266	6
337.152	0	targetsT1	450	16
350.526	0	targetsD1	316	5
351.236	0	targetsD1	250	7
354.534	0	targetsT1	600	15
366.944	0	targetsT3	354	3
367.318	0	targetsD3	314	4
368.184	0	targetsD3	254	6
368.798	0	targetsT3	508	8
369.324	0	targetsD3	322	9
369.672	0	targetsT3	276	10
381.884	0	targetsT1	178	1
382.348	0	targetsT1	324	3
399.596	0	targetsT2	468	1
400.776	0	targetsD2	322	4
403.546	0	targetsT2	466	12
404.32	0	targetsT2	310	14
