onset	duration	trial_type	fixdur	fixrank
13.6	0	targetsD3	274	5
13.908	0	targetsD3	308	6
14.542	0	targetsD3	342	8
15.348	0	targetsT3	310	11
15.68	0	targetsD3	252	12
16.916	0	targetsD3	196	17
17.686	0	targetsT3	220	20
28.752	0	targetsT3	248	1
30.214	0	targetsD3	226	5
31.596	0	targetsT3	170	10
32.23	0	targetsT3	448	12
41.772	0	targetsD2	228	4
43.736	0	targetsT2	244	11
44.002	0	targetsD2	298	12
45.782	0	targetsT2	414	18
46.246	0	targetsD2	304	19
55.93	0	targetsT3	888	5
58.648	0	targetsD3	254	12
60.04	0	targetsT3	214	17
72.7	0	targetsT2	414	3
75.18	0	targetsT2	384	11
92.344	0	targetsT2	506	11
105.238	0	targetsD2	288	3
105.55	0	targetsT2	414	4
105.998	0	targetsD2	286	5
107.73	0	targetsD2	268	11
108.05	0	targetsD2	254	12
109.756	0	targetsD2	182	18
109.954	0	targetsT2	364	19
137.526	0	targetsD2	366	4
137.922	0	targetsT2	584	5
140.26	0	targetsD2	364	11
140.668	0	targetsT2	244	12
153.32	0	targetsT2	408	4
155.77	0	targetsD2	254	11
156.048	0	targetsT2	394	12
171.318	0	targetsT1	370	15
182.648	0	targetsT3	446	5
184.92	0	targetsT3	286	12
186.286	0	targetsD3	282	17
187.172	0	targetsD3	334	20
216.808	0	targetsT1	406	7
292.212	0	targetsT1	262	1
294.07	0	targetsD1	332	7
295.59	0	targetsD1	294	12
296.466	0	targetsD1	228	15
297.334	0	targetsD1	302	18
327.182	0	targetsD3	300	5
328.372	0	targetsT3	460	9
329.5	0	targetsD3	200	12
330.026	0	targetsT3	578	14
331.266	0	targetsT3	462	17
340.298	0	targetsD1	94	1
343.436	0	targetsT1	420	12
364.506	0	targetsT1	626	18
375.52	0	targetsD3	158	1
376.494	0	targetsT3	432	5
376.946	0	targetsT3	210	6
377.476	0	targetsT3	332	8
377.826	0	targetsD3	288	9
378.156	0	targetsD3	274	10
378.462	0	targetsD3	262	11
378.756	0	targetsT3	264	12
379.294	0	targetsD3	232	14
