onset	duration	trial_type	fixdur	fixrank
50.343	0	targetsD1	224	3
52.889	0	targetsT1	168	13
53.229	0	targetsT1	248	15
69.291	0	targetsD1	256	15
69.849	0	targetsT1	478	17
85.111	0	targetsT3	156	1
86.741	0	targetsT3	292	8
88.649	0	targetsT3	264	14
88.941	0	targetsT3	412	15
100.745	0	targetsT3	230	6
101.891	0	targetsD3	286	9
102.951	0	targetsD3	170	12
103.837	0	targetsD3	318	15
105.159	0	targetsD3	310	19
105.783	0	targetsT3	446	21
115.173	0	targetsT2	204	3
115.587	0	targetsT2	250	5
120.199	0	targetsT2	412	20
150.923	0	targetsT3	480	2
152.317	0	targetsD3	390	6
155.003	0	targetsT3	412	15
156.527	0	targetsT3	364	19
171.453	0	targetsT2	234	16
172.607	0	targetsT2	214	18
189.173	0	targetsT1	344	15
200.925	0	targetsT2	350	5
203.815	0	targetsT2	260	14
235.487	0	targetsT1	400	3
235.909	0	targetsD1	294	4
237.617	0	targetsD1	290	9
238.881	0	targetsD1	288	13
239.493	0	targetsD1	250	15
240.093	0	targetsD1	230	17
259.369	0	targetsD2	270	3
259.967	0	targetsD2	338	5
260.629	0	targetsD2	268	7
261.221	0	targetsD2	172	9
262.115	0	targetsT2	458	12
262.779	0	targetsD2	172	14
263.403	0	targetsD2	564	16
264.277	0	targetsD2	264	18
264.869	0	targetsD2	290	20
278.609	0	targetsD3	132	1
278.797	0	targetsD3	320	2
279.283	0	targetsD3	232	4
279.815	0	targetsD3	252	6
280.453	0	targetsD3	394	8
280.885	0	targetsT3	364	9
281.965	0	targetsT3	170	12
282.481	0	targetsD3	286	14
296.033	0	targetsD2	256	3
296.633	0	targetsD2	276	5
297.873	0	targetsT2	120	9
299.013	0	targetsD2	298	12
301.639	0	targetsD2	420	21
342.997	0	targetsT2	228	3
344.203	0	targetsT2	260	7
348.507	0	targetsT2	318	21
362.637	0	targetsT3	482	4
363.435	0	targetsT3	194	6
365.713	0	targetsD3	288	15
367.461	0	targetsD3	286	21
394.941	0	targetsT1	196	4
396.481	0	targetsT1	256	9
