onset	duration	trial_type	fixdur	fixrank
20.207	0	targetsT2	270	18
20.501	0	targetsD2	374	19
70.729	0	targetsT1	290	15
71.629	0	targetsD1	146	18
85.523	0	targetsT2	84	1
87.057	0	targetsT2	340	7
88.755	0	targetsT2	770	12
107.139	0	targetsT3	62	1
107.223	0	targetsD3	434	2
107.995	0	targetsD3	254	4
108.287	0	targetsD3	258	5
108.891	0	targetsD3	278	7
109.785	0	targetsT3	282	10
110.417	0	targetsT3	314	12
137.821	0	targetsD2	136	1
139.113	0	targetsT2	246	6
139.461	0	targetsD2	272	7
139.989	0	targetsT2	306	9
140.911	0	targetsT2	258	12
142.039	0	targetsD2	280	15
142.627	0	targetsD2	616	17
143.319	0	targetsD2	260	18
143.601	0	targetsT2	618	19
157.647	0	targetsD1	276	14
159.249	0	targetsT1	278	18
211.999	0	targetsT1	366	18
270.981	0	targetsD2	262	6
272.123	0	targetsD2	298	9
273.059	0	targetsD2	190	12
274.529	0	targetsT2	264	17
274.815	0	targetsD2	420	18
275.269	0	targetsT2	554	19
298.645	0	targetsT2	298	15
299.305	0	targetsT2	262	17
299.911	0	targetsD2	282	19
319.059	0	targetsD2	386	12
321.003	0	targetsD2	300	17
321.353	0	targetsT2	460	18
332.151	0	targetsD3	92	1
332.341	0	targetsT3	26	2
332.391	0	targetsD3	210	3
332.641	0	targetsT3	228	4
332.893	0	targetsD3	260	5
333.359	0	targetsD3	448	6
333.937	0	targetsT3	298	7
334.877	0	targetsD3	282	10
335.197	0	targetsD3	304	11
335.529	0	targetsD3	228	12
366.875	0	targetsT3	304	1
367.505	0	targetsT3	246	3
368.097	0	targetsT3	44	5
368.249	0	targetsT3	28	6
368.339	0	targetsT3	116	7
381.907	0	targetsD3	48	1
382.651	0	targetsT3	306	5
383.313	0	targetsD3	362	7
385.089	0	targetsT3	294	11
396.737	0	targetsD1	256	3
401.045	0	targetsT1	252	14
401.339	0	targetsD1	322	15
402.413	0	targetsD1	264	18
419.775	0	targetsT1	264	3
