onset	duration	trial_type	fixdur	fixrank
16.405	0	targetsT3	318	14
16.761	0	targetsT3	230	15
31.307	0	targetsD1	266	16
68.267	0	targetsT1	380	17
81.167	0	targetsT2	398	6
81.895	0	targetsT2	318	8
82.489	0	targetsD2	204	10
83.715	0	targetsD2	236	14
100.011	0	targetsT2	254	4
100.923	0	targetsD2	266	6
101.485	0	targetsD2	228	8
101.735	0	targetsT2	274	9
102.031	0	targetsD2	218	10
102.257	0	targetsT2	76	11
104.105	0	targetsD2	242	14
104.781	0	targetsD2	310	16
105.117	0	targetsT2	256	17
118.615	0	targetsT2	82	6
119.705	0	targetsT2	310	10
120.887	0	targetsT2	322	14
134.603	0	targetsD3	150	1
135.111	0	targetsD3	220	3
136.651	0	targetsD3	176	9
137.165	0	targetsD3	624	11
137.831	0	targetsD3	270	12
138.405	0	targetsT3	524	14
138.989	0	targetsT3	336	15
139.365	0	targetsD3	484	16
152.029	0	targetsD2	316	14
152.647	0	targetsT2	326	16
162.815	0	targetsD1	192	2
163.427	0	targetsD1	190	4
163.919	0	targetsD1	112	6
165.889	0	targetsD1	306	12
167.853	0	targetsT1	692	16
168.583	0	targetsD1	246	17
168.847	0	targetsD1	278	18
201.195	0	targetsT2	266	14
253.119	0	targetsD3	96	1
256.755	0	targetsD3	452	14
257.251	0	targetsD3	242	15
258.069	0	targetsT3	300	18
258.407	0	targetsD3	266	19
269.663	0	targetsT3	138	1
270.435	0	targetsT3	278	3
272.973	0	targetsT3	254	9
273.991	0	targetsT3	952	12
309.903	0	targetsT1	560	18
324.533	0	targetsD3	378	14
324.941	0	targetsD3	418	15
325.931	0	targetsD3	262	18
326.219	0	targetsT3	266	19
357.839	0	targetsD2	184	4
358.303	0	targetsD2	252	6
359.085	0	targetsD2	150	9
359.255	0	targetsT2	236	10
359.521	0	targetsD2	260	11
360.341	0	targetsT2	260	14
361.323	0	targetsD2	554	17
389.783	0	targetsT3	72	1
392.539	0	targetsT3	440	11
394.029	0	targetsT3	280	16
406.601	0	targetsT1	102	2
407.045	0	targetsT1	76	4
407.419	0	targetsT1	24	6
409.361	0	targetsT1	268	12
