onset	duration	trial_type	fixdur	fixrank
11.66	0	targetsT3	606	2
17.556	0	targetsT3	496	16
19.734	0	targetsT3	540	20
48.356	0	targetsT1	430	3
57.56	0	targetsT1	274	22
74.602	0	targetsT3	332	14
74.944	0	targetsT3	540	15
76.062	0	targetsT3	538	17
86.804	0	targetsT1	344	8
87.538	0	targetsD1	394	10
121.936	0	targetsD3	410	2
122.646	0	targetsD3	318	4
123.814	0	targetsT3	420	7
124.876	0	targetsT3	480	9
126.296	0	targetsD3	448	12
129.388	0	targetsT3	482	20
129.892	0	targetsD3	144	21
137.05	0	targetsT1	128	1
141.878	0	targetsT1	292	16
144.85	0	targetsD1	456	22
158.054	0	targetsD1	536	1
159.04	0	targetsD1	432	3
160.952	0	targetsD1	394	8
161.368	0	targetsD1	280	9
161.694	0	targetsT1	398	10
163.708	0	targetsD1	358	14
164.4	0	targetsD1	646	16
165.462	0	targetsD1	464	18
192.274	0	targetsD3	404	2
192.732	0	targetsT3	316	3
193.096	0	targetsT3	408	4
194.63	0	targetsD3	432	7
195.104	0	targetsD3	522	8
195.678	0	targetsD3	448	9
196.524	0	targetsD3	436	11
197.02	0	targetsD3	546	12
198.14	0	targetsD3	468	14
198.644	0	targetsD3	502	15
199.18	0	targetsD3	478	16
199.678	0	targetsD3	422	17
201.186	0	targetsD3	616	20
216.938	0	targetsT2	470	9
219.238	0	targetsT2	648	14
236.1	0	targetsT2	496	6
237.102	0	targetsT2	398	8
237.522	0	targetsD2	456	9
256.664	0	targetsT2	490	2
259.302	0	targetsT2	492	9
292.714	0	targetsT3	54	2
292.792	0	targetsD3	382	3
293.21	0	targetsT3	420	4
294.784	0	targetsD3	390	7
295.194	0	targetsT3	498	8
295.716	0	targetsD3	636	9
297.11	0	targetsT3	420	12
309.706	0	targetsD2	336	2
310.554	0	targetsD2	432	4
312.444	0	targetsD2	460	9
313.418	0	targetsT2	424	11
315.022	0	targetsT2	464	14
318.02	0	targetsD2	670	20
370.402	0	targetsD2	334	2
373.186	0	targetsT2	444	9
375.366	0	targetsD2	402	14
375.792	0	targetsT2	502	15
390.144	0	targetsT2	80	2
390.566	0	targetsT2	362	4
391.456	0	targetsD2	452	6
392.378	0	targetsD2	306	8
392.708	0	targetsD2	350	9
393.424	0	targetsD2	382	11
394.756	0	targetsD2	510	14
395.288	0	targetsD2	362	15
396.694	0	targetsT2	642	20
417.012	0	targetsT1	170	14
418.342	0	targetsT1	568	18
430.062	0	targetsD3	320	4
431.072	0	targetsT3	422	7
431.632	0	targetsT3	530	9
432.522	0	targetsT3	502	11
433.046	0	targetsT3	284	12
435.996	0	targetsD3	458	20
436.496	0	targetsT3	64	21
449.988	0	targetsT1	314	9
