onset	duration	trial_type	fixdur	fixrank
11.159	0	targetsT1	354	5
15.539	0	targetsD1	280	18
64.597	0	targetsD2	292	3
66.901	0	targetsT2	556	10
68.409	0	targetsT2	354	13
99.297	0	targetsT2	308	11
101.319	0	targetsT2	546	16
116.615	0	targetsT3	1042	13
118.783	0	targetsT3	412	17
119.217	0	targetsT3	250	18
119.507	0	targetsD3	350	19
119.883	0	targetsT3	482	20
151.621	0	targetsT1	260	6
167.727	0	targetsD2	238	3
168.795	0	targetsT2	246	7
169.495	0	targetsT2	220	9
185.301	0	targetsT3	446	2
187.083	0	targetsT3	418	7
187.757	0	targetsD3	460	9
191.453	0	targetsT3	422	19
191.905	0	targetsD3	374	20
223.871	0	targetsT2	218	1
224.397	0	targetsT2	234	3
225.839	0	targetsD2	342	7
226.221	0	targetsT2	490	8
226.735	0	targetsD2	322	9
227.093	0	targetsD2	532	10
227.661	0	targetsD2	222	11
228.121	0	targetsD2	316	13
229.313	0	targetsD2	288	16
240.631	0	targetsT2	440	7
242.671	0	targetsT2	170	13
245.307	0	targetsD2	468	21
260.017	0	targetsD3	400	2
260.993	0	targetsD3	228	5
261.517	0	targetsD3	274	7
262.031	0	targetsD3	272	9
262.615	0	targetsD3	224	11
262.867	0	targetsD3	272	12
263.185	0	targetsD3	292	13
264.121	0	targetsD3	294	16
264.447	0	targetsD3	314	17
264.803	0	targetsD3	502	18
275.637	0	targetsT1	424	4
329.743	0	targetsT3	216	5
331.089	0	targetsT3	328	9
331.779	0	targetsT3	490	11
346.465	0	targetsT1	460	10
363.729	0	targetsT1	570	11
376.735	0	targetsD1	292	4
377.053	0	targetsD1	244	5
377.317	0	targetsD1	248	6
378.743	0	targetsD1	404	10
379.175	0	targetsD1	256	11
381.851	0	targetsT1	362	18
394.747	0	targetsT3	520	9
395.785	0	targetsT3	420	12
397.559	0	targetsT3	484	16
408.997	0	targetsD2	200	1
409.393	0	targetsT2	284	3
411.029	0	targetsD2	180	7
411.227	0	targetsD2	298	8
412.881	0	targetsD2	308	13
416.391	0	targetsT2	316	21
