onset	duration	trial_type	fixdur	fixrank
10.125	0	targetsT3	154	1
10.753	0	targetsT3	346	4
11.345	0	targetsT3	332	6
11.709	0	targetsT3	474	7
13.897	0	targetsT3	320	13
14.235	0	targetsD3	330	14
22.019	0	targetsT3	440	1
23.105	0	targetsT3	434	4
23.919	0	targetsD3	382	6
25.235	0	targetsD3	252	10
26.319	0	targetsT3	646	14
36.573	0	targetsD3	104	1
37.491	0	targetsD3	286	4
37.807	0	targetsD3	250	5
38.083	0	targetsD3	282	6
38.385	0	targetsD3	278	7
38.963	0	targetsD3	278	9
39.275	0	targetsD3	468	10
40.119	0	targetsD3	300	12
40.443	0	targetsD3	272	13
40.739	0	targetsT3	448	14
42.033	0	targetsD3	380	16
42.445	0	targetsD3	486	17
42.971	0	targetsT3	298	18
60.489	0	targetsT1	230	8
74.583	0	targetsT1	962	2
79.435	0	targetsD1	266	13
92.873	0	targetsT3	420	5
93.319	0	targetsT3	226	6
95.791	0	targetsT3	214	14
107.535	0	targetsT2	290	5
112.177	0	targetsT2	506	16
148.269	0	targetsD2	288	3
148.853	0	targetsD2	288	5
149.513	0	targetsD2	284	7
151.517	0	targetsT2	288	13
152.207	0	targetsT2	424	15
152.655	0	targetsD2	310	16
152.997	0	targetsD2	300	17
153.329	0	targetsD2	240	18
169.383	0	targetsT1	436	14
185.323	0	targetsT1	236	6
216.409	0	targetsD3	386	1
217.575	0	targetsD3	262	4
219.547	0	targetsT3	384	10
220.931	0	targetsD3	386	14
221.699	0	targetsT3	516	16
222.253	0	targetsT3	238	17
222.531	0	targetsD3	104	18
237.925	0	targetsT2	426	20
238.377	0	targetsT2	598	21
297.345	0	targetsT2	400	3
304.125	0	targetsT2	284	21
335.801	0	targetsT2	424	7
338.065	0	targetsD2	310	13
338.705	0	targetsD2	284	15
339.015	0	targetsD2	224	16
339.273	0	targetsT2	514	17
340.491	0	targetsD2	334	20
340.849	0	targetsD2	264	21
352.869	0	targetsT1	504	3
371.499	0	targetsT3	292	9
371.809	0	targetsT3	306	10
372.679	0	targetsT3	568	12
373.697	0	targetsD3	330	14
390.083	0	targetsT2	438	16
390.857	0	targetsT2	414	18
392.045	0	targetsD2	290	21
401.717	0	targetsD1	478	2
402.271	0	targetsD1	258	3
403.221	0	targetsD1	274	6
403.873	0	targetsD1	280	8
405.727	0	targetsT1	522	13
406.273	0	targetsD1	288	14
