onset	duration	trial_type	fixdur	fixrank
65.599	0	targetsT3	164	1
65.787	0	targetsT3	324	2
68.413	0	targetsT3	502	10
70.997	0	targetsD3	396	18
82.983	0	targetsD3	162	1
83.177	0	targetsD3	388	2
85.143	0	targetsT3	408	8
85.991	0	targetsT3	264	10
87.499	0	targetsD3	260	14
87.781	0	targetsT3	402	15
133.431	0	targetsD3	122	1
133.577	0	targetsD3	324	2
134.227	0	targetsD3	264	4
134.523	0	targetsD3	280	5
135.415	0	targetsD3	412	8
136.407	0	targetsD3	408	10
137.459	0	targetsD3	334	13
137.813	0	targetsT3	254	14
138.089	0	targetsD3	524	15
139.303	0	targetsD3	716	17
140.085	0	targetsT3	354	18
157.675	0	targetsT3	260	13
158.337	0	targetsT3	476	15
159.131	0	targetsT3	426	17
171.241	0	targetsT3	298	2
172.063	0	targetsT3	452	4
174.213	0	targetsD3	342	10
176.191	0	targetsD3	436	15
188.789	0	targetsD1	238	2
189.411	0	targetsD1	262	4
193.961	0	targetsT1	354	17
205.629	0	targetsT2	218	1
208.531	0	targetsT2	428	10
210.053	0	targetsT2	472	14
225.817	0	targetsT1	382	4
230.159	0	targetsD1	312	17
242.231	0	targetsT2	424	3
242.993	0	targetsT2	474	5
294.565	0	targetsD2	278	2
295.179	0	targetsT2	272	4
300.247	0	targetsT2	456	18
300.737	0	targetsD2	312	19
312.581	0	targetsD2	332	1
312.957	0	targetsT2	804	2
313.833	0	targetsD2	310	3
314.181	0	targetsD2	310	4
314.515	0	targetsD2	242	5
316.283	0	targetsD2	446	10
317.157	0	targetsD2	148	12
317.593	0	targetsD2	292	14
317.909	0	targetsD2	314	15
318.907	0	targetsD2	324	18
319.265	0	targetsT2	478	19
329.805	0	targetsT3	304	1
331.219	0	targetsT3	198	5
366.323	0	targetsT2	456	12
367.487	0	targetsT2	526	15
380.381	0	targetsT1	310	2
