onset	duration	trial_type	fixdur	fixrank
11.855	0	targetsD2	232	2
12.761	0	targetsT2	324	6
13.507	0	targetsD2	150	9
16.859	0	targetsT2	214	23
27.963	0	targetsD2	152	2
29.723	0	targetsT2	388	9
33.021	0	targetsT2	162	20
43.235	0	targetsD1	326	5
43.897	0	targetsD1	204	7
46.411	0	targetsT1	242	17
47.495	0	targetsT1	424	21
48.561	0	targetsT1	134	23
61.153	0	targetsT1	418	5
66.229	0	targetsD1	288	21
79.825	0	targetsD3	194	3
80.307	0	targetsT3	250	5
80.943	0	targetsT3	236	7
82.161	0	targetsT3	142	11
82.507	0	targetsT3	230	13
83.109	0	targetsD3	294	15
85.557	0	targetsT3	304	21
96.715	0	targetsT2	398	2
97.937	0	targetsD2	258	6
98.851	0	targetsD2	282	9
99.607	0	targetsT2	252	11
99.899	0	targetsD2	242	12
100.827	0	targetsD2	218	14
101.819	0	targetsD2	362	17
102.217	0	targetsT2	662	18
114.377	0	targetsT3	158	3
114.805	0	targetsT3	268	5
115.399	0	targetsT3	138	7
115.559	0	targetsT3	200	8
116.847	0	targetsT3	154	12
117.027	0	targetsD3	442	13
128.245	0	targetsD3	100	1
128.401	0	targetsD3	318	2
128.763	0	targetsT3	238	3
129.361	0	targetsD3	272	5
130.053	0	targetsT3	228	7
130.319	0	targetsD3	250	8
130.595	0	targetsD3	214	9
131.351	0	targetsD3	184	11
131.571	0	targetsT3	546	12
142.975	0	targetsD1	216	5
145.959	0	targetsT1	240	16
147.647	0	targetsT1	364	21
148.365	0	targetsD1	514	23
160.493	0	targetsT2	198	2
161.617	0	targetsD2	214	6
162.583	0	targetsT2	112	9
162.941	0	targetsD2	204	11
163.185	0	targetsT2	214	12
163.663	0	targetsT2	92	14
164.895	0	targetsD2	54	18
165.251	0	targetsD2	238	20
165.511	0	targetsD2	364	21
166.183	0	targetsD2	232	23
214.281	0	targetsD2	232	2
215.409	0	targetsT2	302	6
216.439	0	targetsD2	222	9
218.483	0	targetsT2	328	17
220.103	0	targetsT2	142	21
230.831	0	targetsT3	130	1
231.167	0	targetsD3	46	3
231.973	0	targetsD3	232	7
232.241	0	targetsD3	202	8
233.059	0	targetsD3	184	11
233.269	0	targetsD3	338	12
233.631	0	targetsD3	192	13
234.289	0	targetsT3	386	15
235.637	0	targetsT3	228	19
248.671	0	targetsT2	192	2
250.883	0	targetsT2	260	9
283.341	0	targetsT3	80	3
283.669	0	targetsD3	238	5
284.169	0	targetsD3	198	7
284.397	0	targetsT3	452	8
285.527	0	targetsT3	152	11
285.709	0	targetsD3	164	12
285.905	0	targetsT3	238	13
286.413	0	targetsD3	252	15
287.621	0	targetsD3	376	19
288.029	0	targetsD3	184	20
288.237	0	targetsD3	220	21
299.633	0	targetsT1	184	5
333.995	0	targetsT1	306	7
336.743	0	targetsD1	192	16
336.957	0	targetsD1	388	17
338.309	0	targetsD1	336	21
396.283	0	targetsT3	170	2
396.503	0	targetsD3	338	3
397.929	0	targetsD3	276	7
398.429	0	targetsT3	230	9
400.267	0	targetsT3	70	15
401.829	0	targetsT3	542	20
