onset	duration	trial_type	fixdur	fixrank
50.648	0	targetsT1	564	12
66.126	0	targetsT2	250	5
69.194	0	targetsT2	226	16
70.29	0	targetsD2	284	18
87.93	0	targetsT2	290	16
88.254	0	targetsT2	534	17
88.826	0	targetsD2	230	18
89.286	0	targetsT2	740	20
132.728	0	targetsT1	184	3
133.308	0	targetsT1	598	5
148.514	0	targetsT2	210	2
149.108	0	targetsT2	458	4
150.206	0	targetsD2	296	7
152.822	0	targetsD2	394	16
153.38	0	targetsT2	370	18
165.75	0	targetsT1	200	5
169.85	0	targetsD1	320	17
194.768	0	targetsD1	318	3
195.57	0	targetsD1	174	5
197.34	0	targetsD1	118	12
197.482	0	targetsD1	220	13
198.094	0	targetsD1	230	15
198.644	0	targetsT1	170	17
199.058	0	targetsT1	402	19
227.194	0	targetsD1	218	5
229.788	0	targetsT1	372	15
244.018	0	targetsD3	126	8
244.628	0	targetsD3	212	11
245.12	0	targetsD3	244	13
245.806	0	targetsD3	230	16
246.058	0	targetsT3	578	17
246.704	0	targetsT3	216	18
256.7	0	targetsD2	202	2
257.26	0	targetsD2	224	4
257.514	0	targetsD2	184	5
257.966	0	targetsT2	356	7
260.702	0	targetsD2	254	16
260.98	0	targetsD2	204	17
261.198	0	targetsT2	360	18
261.8	0	targetsD2	272	20
293.182	0	targetsT3	228	2
293.752	0	targetsT3	394	4
295.13	0	targetsT3	432	8
297.064	0	targetsD3	210	13
297.532	0	targetsT3	240	15
306.416	0	targetsD3	326	2
307.056	0	targetsD3	226	4
308.098	0	targetsD3	294	8
309.044	0	targetsT3	152	11
309.23	0	targetsT3	486	12
309.744	0	targetsT3	308	13
310.1	0	targetsD3	406	14
310.58	0	targetsD3	334	15
310.952	0	targetsD3	254	16
311.26	0	targetsD3	270	17
311.552	0	targetsD3	358	18
324.746	0	targetsT3	308	2
327.444	0	targetsD3	242	11
328.034	0	targetsT3	570	13
329.388	0	targetsT3	254	16
358.408	0	targetsD3	220	2
360.02	0	targetsT3	326	8
361.016	0	targetsT3	176	11
361.21	0	targetsD3	258	12
361.792	0	targetsT3	148	14
362.18	0	targetsT3	570	16
379.234	0	targetsT1	320	13
381.57	0	targetsD1	484	19
