onset	duration	trial_type	fixdur	fixrank
12.049	0	targetsT2	226	4
16.991	0	targetsT2	434	20
17.461	0	targetsD2	278	21
26.587	0	targetsT1	372	1
28.959	0	targetsD1	218	9
41.915	0	targetsD2	296	2
44.415	0	targetsD2	352	9
44.805	0	targetsD2	612	10
46.279	0	targetsT2	160	14
46.637	0	targetsT2	292	16
57.687	0	targetsT3	248	6
58.645	0	targetsT3	336	9
60.285	0	targetsT3	204	14
60.625	0	targetsD3	92	15
61.377	0	targetsT3	472	17
90.291	0	targetsT1	200	6
110.433	0	targetsT1	166	10
125.551	0	targetsT3	358	7
126.155	0	targetsT3	36	9
126.473	0	targetsT3	442	11
127.609	0	targetsT3	284	14
138.167	0	targetsT3	236	2
151.877	0	targetsD2	100	2
152.351	0	targetsD2	226	4
152.841	0	targetsD2	110	6
153.603	0	targetsD2	224	9
153.847	0	targetsT2	230	10
168.983	0	targetsT3	238	6
169.881	0	targetsD3	256	9
171.405	0	targetsD3	266	14
172.161	0	targetsT3	234	16
172.425	0	targetsD3	320	17
183.095	0	targetsD3	244	4
183.605	0	targetsD3	456	6
184.385	0	targetsT3	488	8
185.209	0	targetsD3	364	10
197.499	0	targetsT2	128	9
198.917	0	targetsD2	190	14
199.465	0	targetsD2	258	16
201.021	0	targetsD2	286	20
201.347	0	targetsT2	550	21
213.187	0	targetsT2	182	2
215.183	0	targetsT2	82	9
253.105	0	targetsD3	210	2
253.659	0	targetsT3	242	4
254.221	0	targetsD3	228	6
254.481	0	targetsD3	130	7
254.649	0	targetsD3	282	8
254.999	0	targetsD3	204	9
255.223	0	targetsT3	226	10
255.485	0	targetsD3	268	11
256.405	0	targetsD3	216	14
256.659	0	targetsT3	208	15
256.905	0	targetsD3	210	16
267.161	0	targetsD1	160	1
268.599	0	targetsD1	232	6
269.399	0	targetsT1	262	9
269.695	0	targetsD1	92	10
271.573	0	targetsD1	354	17
288.875	0	targetsT1	264	17
380.949	0	targetsT2	214	2
382.033	0	targetsT2	306	6
