onset	duration	trial_type	fixdur	fixrank
13.513	0	targetsT2	1036	9
14.829	0	targetsT2	824	11
31.721	0	targetsD3	480	2
32.525	0	targetsD3	286	4
32.835	0	targetsT3	244	5
33.947	0	targetsT3	542	9
34.521	0	targetsD3	316	10
35.193	0	targetsD3	294	12
36.257	0	targetsT3	810	15
38.031	0	targetsT3	264	19
48.777	0	targetsT1	1964	1
53.897	0	targetsD1	268	10
67.863	0	targetsT1	268	1
71.941	0	targetsT1	658	14
117.619	0	targetsD1	626	1
118.371	0	targetsD1	264	3
120.145	0	targetsT1	828	8
121.213	0	targetsT1	358	10
127.421	0	targetsD1	324	25
145.163	0	targetsT2	346	17
146.535	0	targetsT2	756	19
149.273	0	targetsD2	222	24
159.087	0	targetsT2	278	4
159.553	0	targetsT2	472	6
160.055	0	targetsD2	508	7
160.601	0	targetsD2	296	8
160.919	0	targetsD2	290	9
161.239	0	targetsD2	324	10
161.653	0	targetsD2	396	11
162.091	0	targetsD2	580	12
162.695	0	targetsT2	540	13
163.605	0	targetsD2	396	15
164.045	0	targetsD2	298	16
164.377	0	targetsD2	696	17
165.627	0	targetsD2	274	19
168.553	0	targetsT2	192	24
168.763	0	targetsD2	524	25
182.077	0	targetsD2	408	4
182.799	0	targetsD2	420	6
183.297	0	targetsT2	254	7
183.573	0	targetsT2	292	8
184.413	0	targetsT2	270	10
184.723	0	targetsD2	194	11
185.843	0	targetsD2	434	13
190.109	0	targetsD2	108	24
190.233	0	targetsT2	312	25
200.225	0	targetsT1	320	1
200.839	0	targetsT1	616	3
202.167	0	targetsD1	544	6
203.167	0	targetsD1	312	8
203.715	0	targetsD1	266	10
204.899	0	targetsD1	272	14
209.037	0	targetsT1	106	25
264.657	0	targetsT3	268	10
265.283	0	targetsD3	492	12
268.045	0	targetsT3	596	17
282.209	0	targetsD3	256	2
282.489	0	targetsD3	518	3
283.043	0	targetsD3	326	4
283.401	0	targetsD3	342	5
283.775	0	targetsD3	298	6
284.089	0	targetsD3	280	7
284.759	0	targetsD3	360	9
285.153	0	targetsT3	266	10
285.893	0	targetsT3	594	12
286.523	0	targetsD3	464	13
287.677	0	targetsD3	380	15
288.103	0	targetsT3	96	16
300.371	0	targetsD1	360	1
302.729	0	targetsT1	218	6
303.261	0	targetsT1	364	8
327.141	0	targetsT2	638	11
327.829	0	targetsT2	572	12
334.609	0	targetsT2	122	24
348.295	0	targetsT3	118	10
349.063	0	targetsT3	450	12
366.381	0	targetsD1	496	1
368.569	0	targetsD1	258	8
369.305	0	targetsT1	756	10
395.615	0	targetsT2	938	15
396.615	0	targetsT2	782	16
413.733	0	targetsT3	970	2
414.761	0	targetsT3	314	3
415.089	0	targetsT3	194	4
415.303	0	targetsT3	574	5
416.239	0	targetsT3	42	7
416.651	0	targetsT3	274	9
416.965	0	targetsD3	412	10
417.573	0	targetsT3	222	12
417.811	0	targetsT3	370	13
428.513	0	targetsT3	900	2
429.851	0	targetsT3	496	4
430.377	0	targetsD3	200	5
430.755	0	targetsT3	98	6
431.431	0	targetsD3	392	9
431.863	0	targetsD3	318	10
432.515	0	targetsD3	450	12
434.405	0	targetsD3	290	16
434.721	0	targetsD3	304	17
435.359	0	targetsD3	444	19
