onset	duration	trial_type	fixdur	fixrank
38.122	0	targetsT3	198	4
38.362	0	targetsT3	170	5
38.566	0	targetsT3	136	6
38.744	0	targetsT3	436	7
39.654	0	targetsD3	216	10
41.768	0	targetsD3	182	18
51.362	0	targetsT3	356	1
51.758	0	targetsT3	402	2
53.698	0	targetsD3	306	8
54.3	0	targetsD3	194	10
55.82	0	targetsT3	476	15
69.218	0	targetsD3	232	2
70.714	0	targetsT3	334	8
71.08	0	targetsT3	348	9
71.452	0	targetsD3	330	10
73.022	0	targetsD3	352	15
73.416	0	targetsT3	314	16
74.046	0	targetsT3	204	18
97.318	0	targetsT3	242	2
99.386	0	targetsT3	340	10
101.508	0	targetsD3	194	18
114.388	0	targetsT1	458	3
117.92	0	targetsD1	158	16
120.11	0	targetsT1	350	24
120.49	0	targetsD1	312	25
129.952	0	targetsT1	134	1
130.34	0	targetsT1	188	3
130.846	0	targetsD1	202	5
132.678	0	targetsD1	224	12
133.74	0	targetsD1	222	16
134.604	0	targetsD1	230	19
157.204	0	targetsD1	300	1
157.818	0	targetsD1	196	3
161.226	0	targetsT1	452	16
194.558	0	targetsT1	192	16
195.618	0	targetsT1	294	19
197.012	0	targetsD1	394	24
197.444	0	targetsT1	150	25
211.53	0	targetsT2	252	5
211.998	0	targetsT2	154	7
214.052	0	targetsT2	374	15
215.046	0	targetsD2	212	18
216.076	0	targetsD2	286	22
226.866	0	targetsT2	296	5
227.72	0	targetsD2	334	7
228.806	0	targetsD2	222	11
229.28	0	targetsD2	262	13
230.05	0	targetsD2	180	15
230.502	0	targetsD2	218	17
230.764	0	targetsT2	372	18
231.162	0	targetsD2	212	19
231.388	0	targetsD2	192	20
231.602	0	targetsD2	346	21
231.986	0	targetsT2	150	22
245.91	0	targetsD2	320	15
246.468	0	targetsT2	456	17
247.41	0	targetsT2	354	20
248.204	0	targetsT2	298	22
260.42	0	targetsD2	196	5
263.114	0	targetsD2	318	15
263.87	0	targetsT2	340	18
265.11	0	targetsT2	390	22
278.588	0	targetsT3	422	3
280.062	0	targetsD3	170	8
280.594	0	targetsT3	190	10
280.99	0	targetsT3	362	12
281.92	0	targetsT3	230	15
292.58	0	targetsT1	374	5
325.456	0	targetsD2	212	5
327.894	0	targetsT2	424	15
328.838	0	targetsD2	244	18
329.124	0	targetsT2	182	19
329.5	0	targetsT2	218	21
329.744	0	targetsD2	610	22
344.4	0	targetsT2	236	11
345.042	0	targetsT2	212	13
345.462	0	targetsT2	142	15
347.318	0	targetsD2	316	22
355.948	0	targetsD3	152	1
356.148	0	targetsD3	284	2
356.454	0	targetsD3	226	3
356.708	0	targetsD3	216	4
356.954	0	targetsD3	192	5
357.194	0	targetsD3	224	6
357.444	0	targetsD3	250	7
357.718	0	targetsT3	366	8
358.118	0	targetsD3	324	9
358.466	0	targetsT3	370	10
359.236	0	targetsD3	220	12
359.894	0	targetsD3	234	15
360.164	0	targetsD3	246	16
360.686	0	targetsT3	574	18
373.782	0	targetsD1	126	3
376.222	0	targetsT1	322	12
