onset	duration	trial_type	fixdur	fixrank
30.863	0	targetsT3	320	12
32.261	0	targetsT3	322	16
32.603	0	targetsT3	162	17
32.791	0	targetsT3	254	18
33.067	0	targetsT3	202	19
33.287	0	targetsD3	210	20
33.517	0	targetsT3	460	21
33.999	0	targetsT3	222	22
63.811	0	targetsT2	236	6
64.315	0	targetsT2	288	8
65.127	0	targetsD2	270	11
67.531	0	targetsT2	346	19
68.217	0	targetsT2	318	21
81.025	0	targetsT2	348	11
81.425	0	targetsT2	238	12
83.533	0	targetsD2	230	19
84.017	0	targetsD2	202	21
85.101	0	targetsT2	208	24
99.607	0	targetsD1	238	19
114.015	0	targetsT3	296	9
114.759	0	targetsT3	270	11
116.457	0	targetsD3	192	16
116.715	0	targetsT3	110	17
117.103	0	targetsD3	104	18
127.241	0	targetsT3	416	3
127.937	0	targetsT3	466	5
128.743	0	targetsT3	628	7
139.735	0	targetsD2	170	8
139.927	0	targetsD2	210	9
140.397	0	targetsT2	200	11
140.635	0	targetsD2	348	12
141.005	0	targetsD2	206	13
142.537	0	targetsT2	1086	19
158.561	0	targetsT1	270	19
173.233	0	targetsT1	200	19
174.253	0	targetsD1	266	22
187.465	0	targetsD3	320	3
187.851	0	targetsD3	226	4
188.093	0	targetsD3	210	5
188.329	0	targetsD3	244	6
188.597	0	targetsD3	282	7
189.237	0	targetsD3	352	9
189.849	0	targetsD3	174	11
190.041	0	targetsD3	198	12
191.227	0	targetsD3	342	15
191.835	0	targetsD3	246	17
192.115	0	targetsD3	394	18
192.539	0	targetsD3	178	19
192.741	0	targetsT3	306	20
193.091	0	targetsD3	1278	21
194.435	0	targetsD3	108	22
209.117	0	targetsT3	204	11
256.215	0	targetsD1	238	10
258.531	0	targetsD1	180	19
259.009	0	targetsD1	246	21
259.275	0	targetsT1	662	22
277.147	0	targetsT1	248	19
277.569	0	targetsT1	290	21
288.543	0	targetsT1	454	10
291.323	0	targetsD1	220	19
302.075	0	targetsT3	242	4
302.821	0	targetsT3	544	6
304.529	0	targetsD3	216	11
305.427	0	targetsT3	296	15
306.089	0	targetsD3	272	17
306.393	0	targetsT3	874	18
318.303	0	targetsD2	208	11
318.907	0	targetsT2	234	13
321.539	0	targetsT2	374	21
322.371	0	targetsD2	280	23
322.721	0	targetsD2	128	24
367.857	0	targetsD2	226	6
368.947	0	targetsT2	266	9
371.327	0	targetsD2	162	19
371.755	0	targetsD2	152	21
372.161	0	targetsT2	978	23
