onset	duration	trial_type	fixdur	fixrank
28.279	0	targetsT1	370	1
29.595	0	targetsT1	302	5
32.507	0	targetsD1	184	16
43.711	0	targetsD3	296	1
44.055	0	targetsT3	226	2
44.301	0	targetsD3	230	3
44.549	0	targetsT3	250	4
44.843	0	targetsT3	410	5
48.193	0	targetsT3	158	16
106.909	0	targetsT2	196	3
107.125	0	targetsT2	370	4
110.233	0	targetsD2	254	15
110.741	0	targetsD2	504	17
173.601	0	targetsT3	240	6
174.137	0	targetsT3	362	8
175.595	0	targetsT3	264	13
176.061	0	targetsT3	242	15
176.979	0	targetsD3	210	18
177.885	0	targetsT3	258	21
178.353	0	targetsT3	532	23
191.035	0	targetsT1	402	12
194.621	0	targetsD1	276	21
207.481	0	targetsD2	214	4
210.251	0	targetsD2	184	15
210.739	0	targetsT2	294	17
211.973	0	targetsT2	238	21
268.655	0	targetsD1	310	1
269.803	0	targetsD1	192	5
271.695	0	targetsD1	242	12
272.625	0	targetsT1	254	16
274.263	0	targetsT1	232	21
286.185	0	targetsT3	226	7
287.299	0	targetsT3	292	10
287.615	0	targetsT3	450	11
289.367	0	targetsT3	712	16
290.293	0	targetsT3	770	18
291.651	0	targetsT3	532	21
292.481	0	targetsD3	238	23
302.843	0	targetsD2	164	4
303.859	0	targetsT2	262	8
306.051	0	targetsT2	214	15
306.469	0	targetsT2	232	17
318.091	0	targetsT3	144	1
318.255	0	targetsD3	390	2
318.679	0	targetsT3	224	3
318.923	0	targetsD3	330	4
319.279	0	targetsT3	274	5
319.573	0	targetsD3	254	6
319.845	0	targetsD3	194	7
320.073	0	targetsD3	238	8
320.625	0	targetsD3	242	10
320.897	0	targetsD3	232	11
321.605	0	targetsD3	396	13
322.275	0	targetsD3	140	15
322.431	0	targetsD3	248	16
322.869	0	targetsT3	196	18
323.113	0	targetsT3	576	19
323.729	0	targetsD3	176	20
347.523	0	targetsT3	146	1
347.971	0	targetsT3	340	3
348.629	0	targetsD3	234	5
351.143	0	targetsT3	188	15
351.357	0	targetsD3	294	16
352.011	0	targetsD3	244	18
352.275	0	targetsD3	238	19
352.545	0	targetsT3	494	20
353.089	0	targetsD3	304	21
362.697	0	targetsD3	156	1
363.101	0	targetsD3	302	3
363.643	0	targetsD3	146	5
366.319	0	targetsD3	348	15
369.421	0	targetsD3	412	21
377.991	0	targetsD2	488	3
378.517	0	targetsT2	440	4
380.047	0	targetsD2	230	8
382.079	0	targetsT2	416	15
383.055	0	targetsD2	320	17
384.469	0	targetsD2	288	21
