onset	duration	trial_type	fixdur	fixrank
9.615	0	targetsD1	228	3
12.765	0	targetsD1	212	15
13.027	0	targetsT1	326	16
13.735	0	targetsD1	130	18
24.813	0	targetsT2	232	2
29.291	0	targetsT2	296	20
58.621	0	targetsD3	92	1
59.043	0	targetsD3	222	3
59.525	0	targetsT3	226	5
59.771	0	targetsD3	298	6
60.393	0	targetsD3	236	8
60.657	0	targetsD3	260	9
60.939	0	targetsT3	220	10
61.579	0	targetsT3	218	12
62.035	0	targetsT3	336	14
62.411	0	targetsT3	298	15
75.961	0	targetsT2	260	5
77.015	0	targetsT2	298	8
77.625	0	targetsT2	224	10
78.591	0	targetsT2	282	13
92.969	0	targetsT3	158	1
93.561	0	targetsT3	260	3
94.607	0	targetsT3	282	6
98.121	0	targetsD3	250	17
98.625	0	targetsD3	150	19
107.833	0	targetsD3	280	5
109.031	0	targetsT3	226	9
109.287	0	targetsD3	328	10
110.027	0	targetsD3	210	12
110.551	0	targetsD3	208	14
110.783	0	targetsD3	242	15
111.063	0	targetsT3	482	16
111.603	0	targetsT3	114	17
111.743	0	targetsT3	226	18
111.997	0	targetsT3	324	19
112.361	0	targetsT3	410	20
112.883	0	targetsT3	236	21
113.149	0	targetsD3	394	22
124.927	0	targetsT1	370	3
142.613	0	targetsD2	158	2
142.969	0	targetsD2	220	5
160.837	0	targetsD2	118	2
160.979	0	targetsT2	146	3
161.463	0	targetsT2	196	5
161.927	0	targetsT2	280	7
165.601	0	targetsD2	48	21
235.923	0	targetsT3	238	8
238.573	0	targetsD3	410	16
239.267	0	targetsD3	244	18
239.775	0	targetsD3	390	20
240.187	0	targetsD3	230	21
240.453	0	targetsT3	280	22
249.105	0	targetsT2	382	2
249.515	0	targetsD2	316	3
250.179	0	targetsD2	278	5
250.813	0	targetsD2	198	7
251.063	0	targetsD2	284	8
251.637	0	targetsD2	256	10
252.599	0	targetsD2	204	13
254.649	0	targetsD2	236	20
254.907	0	targetsT2	196	21
291.123	0	targetsD1	358	16
292.533	0	targetsT1	238	20
307.377	0	targetsT1	256	18
307.735	0	targetsD1	286	20
324.353	0	targetsT1	206	15
