onset	duration	trial_type	fixdur	fixrank
13.239	0	targetsD3	288	1
13.991	0	targetsD3	192	4
14.407	0	targetsT3	184	6
15.063	0	targetsD3	246	8
15.585	0	targetsD3	226	10
16.153	0	targetsT3	140	12
16.613	0	targetsT3	418	14
17.313	0	targetsD3	292	16
17.629	0	targetsT3	620	17
18.553	0	targetsD3	64	19
30.745	0	targetsD1	210	5
30.971	0	targetsD1	250	6
32.121	0	targetsD1	170	10
32.523	0	targetsT1	220	12
34.565	0	targetsD1	394	18
62.419	0	targetsD2	260	7
64.619	0	targetsT2	98	15
79.389	0	targetsD2	28	1
80.815	0	targetsD2	246	7
84.215	0	targetsT2	196	18
85.083	0	targetsD2	244	20
99.261	0	targetsT2	222	5
99.723	0	targetsT2	296	7
103.243	0	targetsD2	172	18
128.901	0	targetsT3	56	1
129.371	0	targetsT3	342	3
130.445	0	targetsD3	208	6
130.943	0	targetsD3	232	8
133.167	0	targetsT3	316	16
133.529	0	targetsT3	444	17
134.877	0	targetsT3	210	21
147.221	0	targetsT2	52	1
148.327	0	targetsD2	228	5
149.005	0	targetsT2	410	7
151.499	0	targetsD2	290	15
152.107	0	targetsD2	160	17
152.283	0	targetsT2	180	18
152.709	0	targetsT2	330	20
165.021	0	targetsT1	214	5
166.353	0	targetsD1	228	10
166.841	0	targetsD1	222	12
169.229	0	targetsD1	260	20
233.399	0	targetsD3	362	1
233.807	0	targetsD3	244	2
234.081	0	targetsD3	266	3
234.381	0	targetsT3	166	4
234.789	0	targetsT3	376	6
235.183	0	targetsD3	266	7
235.479	0	targetsT3	210	8
236.183	0	targetsT3	300	10
236.507	0	targetsD3	284	11
236.813	0	targetsD3	328	12
237.461	0	targetsD3	244	14
237.933	0	targetsD3	202	16
238.175	0	targetsD3	268	17
238.645	0	targetsD3	214	19
239.111	0	targetsD3	282	21
270.409	0	targetsT2	150	17
270.569	0	targetsD2	1188	18
304.683	0	targetsT1	232	10
323.899	0	targetsT1	248	18
324.565	0	targetsT1	716	20
336.263	0	targetsD1	444	5
336.765	0	targetsT1	252	6
338.107	0	targetsT1	366	10
351.757	0	targetsT3	376	1
353.173	0	targetsD3	404	4
353.847	0	targetsT3	1574	6
356.473	0	targetsT3	696	8
357.725	0	targetsD3	258	10
358.267	0	targetsD3	302	12
358.981	0	targetsD3	446	14
359.941	0	targetsD3	394	17
372.123	0	targetsD3	422	6
372.563	0	targetsT3	208	7
373.915	0	targetsT3	410	11
374.985	0	targetsT3	238	14
375.483	0	targetsT3	304	16
376.629	0	targetsT3	134	19
387.125	0	targetsT1	240	5
402.757	0	targetsT3	134	2
403.251	0	targetsT3	232	4
403.919	0	targetsD3	590	6
405.343	0	targetsT3	244	10
405.775	0	targetsT3	244	12
407.895	0	targetsT3	516	19
