onset	duration	trial_type	fixdur	fixrank
11.415	0	targetsT2	260	8
15.295	0	targetsT2	152	18
15.711	0	targetsT2	314	20
48.955	0	targetsD3	358	4
49.351	0	targetsT3	412	5
49.811	0	targetsD3	424	6
50.287	0	targetsD3	342	7
50.649	0	targetsD3	262	8
52.051	0	targetsD3	250	12
52.333	0	targetsD3	262	13
52.645	0	targetsD3	344	14
53.021	0	targetsT3	482	15
53.555	0	targetsD3	228	16
54.521	0	targetsT3	482	19
65.961	0	targetsD1	318	2
68.989	0	targetsT1	370	12
69.843	0	targetsD1	330	14
70.661	0	targetsD1	482	16
72.073	0	targetsD1	206	20
98.495	0	targetsT2	404	9
100.263	0	targetsT2	390	14
120.091	0	targetsT1	352	20
130.851	0	targetsT1	290	2
134.109	0	targetsD1	346	12
166.057	0	targetsD3	264	5
166.349	0	targetsT3	472	6
168.481	0	targetsT3	304	12
168.833	0	targetsD3	378	13
169.249	0	targetsT3	194	14
169.465	0	targetsD3	224	15
169.717	0	targetsT3	250	16
218.613	0	targetsT1	358	14
219.487	0	targetsT1	140	16
266.227	0	targetsD3	276	5
266.867	0	targetsT3	236	7
267.139	0	targetsT3	342	8
268.423	0	targetsD3	296	12
268.743	0	targetsT3	460	13
277.977	0	targetsT2	228	1
278.249	0	targetsD2	410	2
278.691	0	targetsT2	432	3
279.177	0	targetsD2	380	4
279.851	0	targetsD2	172	6
280.291	0	targetsD2	234	8
280.561	0	targetsD2	286	9
281.451	0	targetsT2	456	12
282.377	0	targetsD2	258	14
282.667	0	targetsD2	292	15
283.679	0	targetsD2	262	18
283.965	0	targetsD2	280	19
284.279	0	targetsD2	266	20
295.371	0	targetsT3	212	1
296.633	0	targetsT3	370	5
297.365	0	targetsT3	392	7
299.439	0	targetsT3	462	13
299.943	0	targetsT3	456	14
300.441	0	targetsD3	322	15
330.655	0	targetsT2	554	6
334.005	0	targetsT2	272	15
349.325	0	targetsD3	294	5
349.647	0	targetsD3	212	6
351.613	0	targetsT3	596	12
352.495	0	targetsD3	370	14
352.913	0	targetsT3	354	15
354.457	0	targetsD3	400	19
367.233	0	targetsD2	124	1
367.393	0	targetsT2	152	2
367.573	0	targetsD2	412	3
368.041	0	targetsT2	362	4
370.631	0	targetsD2	340	12
372.983	0	targetsT2	586	19
384.579	0	targetsD3	158	1
385.411	0	targetsT3	604	4
386.065	0	targetsT3	532	5
386.639	0	targetsT3	276	6
386.947	0	targetsD3	384	7
