onset	duration	trial_type	fixdur	fixrank
12.231	0	targetsT2	428	4
16.069	0	targetsT2	238	16
83.675	0	targetsD1	276	9
84.667	0	targetsT1	322	11
98.537	0	targetsT1	422	6
115.365	0	targetsD2	250	2
115.913	0	targetsD2	300	4
117.533	0	targetsT2	222	10
120.767	0	targetsT2	254	21
139.009	0	targetsT2	392	16
139.923	0	targetsT2	236	19
140.625	0	targetsD2	250	21
149.425	0	targetsT2	358	2
150.519	0	targetsT2	486	5
165.343	0	targetsD3	64	1
165.549	0	targetsD3	350	3
166.209	0	targetsD3	212	5
166.999	0	targetsT3	156	8
167.431	0	targetsT3	276	10
169.321	0	targetsD3	366	15
171.287	0	targetsT3	352	21
171.695	0	targetsD3	364	22
182.843	0	targetsT3	148	1
183.017	0	targetsD3	288	2
183.329	0	targetsT3	344	3
183.967	0	targetsD3	336	5
184.351	0	targetsD3	154	6
186.609	0	targetsD3	254	13
187.183	0	targetsT3	480	15
189.437	0	targetsD3	118	21
189.589	0	targetsT3	280	22
200.513	0	targetsD3	434	1
201.001	0	targetsT3	606	2
201.641	0	targetsD3	274	3
201.957	0	targetsD3	218	4
202.205	0	targetsT3	718	5
202.983	0	targetsD3	284	6
203.623	0	targetsD3	298	8
204.301	0	targetsD3	334	10
204.947	0	targetsD3	312	12
205.285	0	targetsT3	278	13
231.153	0	targetsT3	134	1
231.675	0	targetsT3	282	3
232.371	0	targetsT3	190	5
234.275	0	targetsT3	392	12
264.409	0	targetsD3	294	5
264.743	0	targetsT3	450	6
282.875	0	targetsT2	70	2
283.255	0	targetsT2	432	4
283.741	0	targetsD2	584	5
285.809	0	targetsD2	270	10
287.657	0	targetsD2	276	16
288.499	0	targetsD2	456	18
288.997	0	targetsD2	322	19
289.361	0	targetsD2	420	20
302.049	0	targetsD2	292	2
302.657	0	targetsD2	250	4
306.787	0	targetsD2	280	16
307.429	0	targetsT2	234	18
307.965	0	targetsT2	362	20
319.027	0	targetsT3	188	4
319.247	0	targetsT3	466	5
319.769	0	targetsT3	518	6
351.165	0	targetsT1	304	8
367.905	0	targetsT1	478	10
399.055	0	targetsD1	252	6
399.605	0	targetsD1	282	8
399.923	0	targetsT1	288	9
400.241	0	targetsD1	348	10
400.623	0	targetsD1	216	11
