onset	duration	trial_type	fixdur	fixrank
13.835	0	targetsD1	186	2
14.033	0	targetsD1	280	3
15.763	0	targetsD1	244	8
17.719	0	targetsT1	302	14
18.297	0	targetsD1	304	16
29.363	0	targetsT2	608	3
30.759	0	targetsD2	202	7
33.551	0	targetsT2	432	17
63.275	0	targetsD2	272	3
64.399	0	targetsT2	274	7
65.319	0	targetsT2	248	10
67.511	0	targetsD2	262	17
132.161	0	targetsT1	258	8
134.219	0	targetsD1	312	14
144.409	0	targetsD3	200	3
144.929	0	targetsT3	264	5
146.699	0	targetsT3	268	10
146.985	0	targetsD3	234	11
148.589	0	targetsD3	290	16
148.907	0	targetsT3	332	17
149.257	0	targetsD3	374	18
159.605	0	targetsT2	294	1
161.845	0	targetsT2	306	7
174.121	0	targetsT3	342	1
174.951	0	targetsT3	424	3
178.019	0	targetsT3	260	11
178.727	0	targetsT3	224	13
190.315	0	targetsD3	94	1
190.425	0	targetsT3	188	2
190.633	0	targetsD3	218	3
190.875	0	targetsT3	338	4
191.233	0	targetsD3	180	5
191.765	0	targetsD3	376	7
192.397	0	targetsT3	268	9
192.681	0	targetsD3	310	10
193.017	0	targetsT3	538	11
193.583	0	targetsD3	302	12
203.149	0	targetsD3	382	2
203.545	0	targetsT3	284	3
203.847	0	targetsD3	342	4
204.239	0	targetsD3	264	5
204.805	0	targetsT3	332	7
205.551	0	targetsD3	306	9
206.147	0	targetsD3	182	11
206.641	0	targetsD3	330	13
207.675	0	targetsT3	254	16
207.959	0	targetsD3	276	17
208.261	0	targetsT3	192	18
237.635	0	targetsT1	682	3
258.139	0	targetsT3	376	5
260.353	0	targetsT3	412	12
275.195	0	targetsT1	372	14
275.845	0	targetsT1	248	16
303.277	0	targetsT1	348	2
307.037	0	targetsD1	304	14
373.287	0	targetsD2	294	2
373.621	0	targetsD2	324	3
376.741	0	targetsT2	604	13
389.803	0	targetsD2	86	1
389.917	0	targetsT2	242	2
390.205	0	targetsT2	454	3
391.631	0	targetsD2	260	7
392.373	0	targetsD2	282	10
393.869	0	targetsD2	390	13
