onset	duration	trial_type	fixdur	fixrank
27.655	0	targetsT2	222	3
28.111	0	targetsD2	498	5
28.979	0	targetsT2	510	7
32.293	0	targetsD2	50	18
32.673	0	targetsD2	392	21
65.473	0	targetsT3	244	3
68.565	0	targetsD3	180	12
70.135	0	targetsT3	328	17
70.493	0	targetsT3	518	18
84.369	0	targetsT1	378	16
119.507	0	targetsT1	424	13
131.139	0	targetsT3	272	2
131.743	0	targetsT3	262	4
134.873	0	targetsD3	252	12
136.351	0	targetsT3	260	17
137.167	0	targetsT3	288	19
148.555	0	targetsT1	206	3
148.847	0	targetsD1	282	4
163.801	0	targetsD2	202	2
164.031	0	targetsD2	304	3
164.737	0	targetsT2	470	5
165.565	0	targetsD2	244	7
166.099	0	targetsD2	268	9
166.411	0	targetsD2	230	10
166.657	0	targetsD2	256	11
168.643	0	targetsT2	198	18
182.025	0	targetsT3	616	1
184.271	0	targetsT3	504	6
185.877	0	targetsT3	622	11
230.945	0	targetsD1	460	2
231.459	0	targetsD1	230	3
231.761	0	targetsT1	200	4
233.231	0	targetsD1	248	9
234.429	0	targetsD1	428	13
235.657	0	targetsD1	366	16
252.263	0	targetsT1	204	2
271.619	0	targetsT2	544	9
272.513	0	targetsT2	760	11
291.217	0	targetsT1	456	9
343.131	0	targetsD3	220	8
343.913	0	targetsD3	148	10
344.405	0	targetsT3	276	12
346.287	0	targetsD3	350	16
346.713	0	targetsD3	218	17
374.859	0	targetsD3	82	1
374.969	0	targetsD3	66	2
375.061	0	targetsD3	220	3
375.293	0	targetsD3	276	4
375.965	0	targetsD3	244	6
376.511	0	targetsT3	218	8
377.235	0	targetsT3	180	10
377.433	0	targetsD3	238	11
377.691	0	targetsT3	326	12
379.115	0	targetsT3	246	16
379.421	0	targetsD3	232	17
379.939	0	targetsD3	80	18
380.039	0	targetsD3	130	19
399.581	0	targetsT2	492	18
400.769	0	targetsT2	392	21
413.013	0	targetsT2	286	2
415.769	0	targetsT2	454	10
418.623	0	targetsD2	312	18
