onset	duration	trial_type	fixdur	fixrank
13.958	0	targetsT3	258	2
14.55	0	targetsD3	430	4
15.822	0	targetsD3	358	8
16.89	0	targetsD3	398	11
17.314	0	targetsT3	862	12
97.318	0	targetsT3	312	4
99.514	0	targetsT3	402	11
113.148	0	targetsT2	184	2
113.866	0	targetsD2	442	4
114.33	0	targetsD2	172	5
114.526	0	targetsT2	226	6
115.112	0	targetsD2	298	8
115.436	0	targetsD2	246	9
116.198	0	targetsD2	348	11
116.93	0	targetsT2	238	13
117.584	0	targetsD2	146	15
119.21	0	targetsD2	250	21
131.916	0	targetsD3	284	2
132.53	0	targetsT3	368	4
134.096	0	targetsT3	270	8
134.628	0	targetsD3	270	10
134.94	0	targetsT3	710	11
135.706	0	targetsD3	488	12
149.656	0	targetsT2	268	6
150.16	0	targetsT2	432	8
151.736	0	targetsD2	350	13
166.116	0	targetsT2	220	2
167.132	0	targetsD2	408	6
168.112	0	targetsT2	192	9
168.446	0	targetsT2	208	11
189.732	0	targetsT1	248	15
190.202	0	targetsT1	362	17
202.542	0	targetsT1	270	8
215.58	0	targetsD2	314	2
216.218	0	targetsT2	310	4
216.55	0	targetsT2	328	5
268.864	0	targetsT1	234	5
269.57	0	targetsD1	352	7
269.944	0	targetsD1	172	8
270.132	0	targetsD1	296	9
270.776	0	targetsD1	386	11
271.712	0	targetsD1	256	15
272.368	0	targetsD1	248	17
272.65	0	targetsD1	262	18
287.296	0	targetsT1	164	7
287.738	0	targetsT1	210	9
304.618	0	targetsD3	200	4
306.304	0	targetsT3	288	10
306.628	0	targetsD3	436	11
323.98	0	targetsT1	344	18
352.544	0	targetsD1	364	5
354.256	0	targetsT1	382	11
401.9	0	targetsD2	382	2
403.636	0	targetsD2	218	6
407.698	0	targetsT2	744	15
409.986	0	targetsT2	314	21
