onset	duration	trial_type	fixdur	fixrank
26.221	0	targetsD3	136	1
26.955	0	targetsD3	240	3
27.231	0	targetsD3	198	4
27.447	0	targetsD3	154	5
27.891	0	targetsT3	210	7
28.387	0	targetsT3	460	9
29.263	0	targetsD3	246	11
29.551	0	targetsT3	424	12
30.005	0	targetsD3	138	13
30.187	0	targetsT3	268	14
31.079	0	targetsD3	220	17
31.547	0	targetsT3	268	19
39.799	0	targetsT2	412	1
41.261	0	targetsT2	304	5
41.909	0	targetsD2	284	7
42.471	0	targetsD2	274	9
42.783	0	targetsD2	214	10
43.027	0	targetsD2	384	11
45.199	0	targetsD2	332	18
69.731	0	targetsT2	408	9
70.513	0	targetsT2	420	11
72.923	0	targetsD2	298	20
87.239	0	targetsD2	232	9
89.677	0	targetsT2	198	18
90.193	0	targetsT2	246	20
117.711	0	targetsT2	716	1
120.155	0	targetsT2	182	7
120.843	0	targetsD2	322	9
134.815	0	targetsD2	104	1
137.451	0	targetsT2	372	9
140.727	0	targetsT2	458	20
157.435	0	targetsT1	724	13
189.089	0	targetsT3	286	1
189.683	0	targetsT3	266	3
191.473	0	targetsT3	200	9
191.881	0	targetsT3	494	11
192.867	0	targetsT3	166	13
203.891	0	targetsD3	344	7
204.595	0	targetsD3	302	9
205.167	0	targetsT3	456	11
205.673	0	targetsT3	374	12
208.225	0	targetsD3	340	19
237.973	0	targetsD2	472	1
239.383	0	targetsD2	362	5
240.729	0	targetsT2	298	9
241.057	0	targetsT2	630	10
243.915	0	targetsD2	256	20
257.991	0	targetsT1	286	11
258.677	0	targetsD1	284	13
284.073	0	targetsD3	206	1
284.347	0	targetsD3	408	3
285.089	0	targetsT3	538	5
285.907	0	targetsT3	514	7
286.631	0	targetsD3	304	9
287.111	0	targetsD3	308	11
287.461	0	targetsD3	236	12
288.031	0	targetsD3	206	14
289.411	0	targetsD3	158	19
323.115	0	targetsT1	468	10
323.629	0	targetsD1	294	11
325.895	0	targetsT1	444	19
343.233	0	targetsT1	488	18
357.271	0	targetsT3	348	1
357.827	0	targetsT3	302	3
358.165	0	targetsT3	426	4
359.043	0	targetsD3	202	7
360.529	0	targetsD3	326	12
362.017	0	targetsT3	244	17
362.597	0	targetsT3	278	19
374.893	0	targetsD1	338	1
376.175	0	targetsD1	250	5
377.519	0	targetsD1	242	10
377.783	0	targetsT1	194	11
378.329	0	targetsT1	274	13
379.791	0	targetsD1	250	18
380.063	0	targetsD1	226	19
392.893	0	targetsT1	84	1
394.247	0	targetsT1	508	5
396.281	0	targetsD1	150	11
397.363	0	targetsD1	258	13
