onset	duration	trial_type	fixdur	fixrank
17.153	0	targetsT1	480	16
31.341	0	targetsD2	204	3
33.213	0	targetsT2	166	10
34.369	0	targetsT2	192	14
34.723	0	targetsT2	198	16
36.177	0	targetsD2	242	22
81.925	0	targetsT2	318	3
83.051	0	targetsT2	332	7
114.867	0	targetsT3	458	10
115.597	0	targetsD3	172	12
115.795	0	targetsT3	392	13
116.211	0	targetsD3	222	14
128.489	0	targetsT3	316	3
130.053	0	targetsD3	242	9
130.321	0	targetsD3	132	10
130.497	0	targetsT3	234	11
130.743	0	targetsT3	362	12
131.349	0	targetsT3	280	14
131.665	0	targetsT3	236	15
161.437	0	targetsT1	210	11
164.991	0	targetsT1	288	23
178.583	0	targetsD1	226	2
178.997	0	targetsT1	336	4
180.605	0	targetsD1	224	10
180.859	0	targetsD1	200	11
182.169	0	targetsD1	258	16
182.663	0	targetsD1	292	18
184.879	0	targetsD1	312	23
198.327	0	targetsT2	190	3
198.837	0	targetsT2	124	5
200.383	0	targetsT2	238	12
202.067	0	targetsD2	220	18
203.203	0	targetsD2	474	22
214.387	0	targetsD2	174	3
215.065	0	targetsT2	234	6
219.093	0	targetsT2	710	22
234.349	0	targetsT1	214	10
263.697	0	targetsD3	260	3
264.665	0	targetsD3	200	7
265.189	0	targetsT3	378	9
265.589	0	targetsD3	226	10
265.841	0	targetsT3	412	11
266.277	0	targetsD3	290	12
266.615	0	targetsD3	242	13
266.881	0	targetsT3	170	14
267.075	0	targetsD3	178	15
267.277	0	targetsT3	198	16
278.051	0	targetsT3	314	9
278.401	0	targetsT3	234	10
278.845	0	targetsT3	158	12
279.221	0	targetsT3	216	14
290.469	0	targetsD1	248	4
293.849	0	targetsT1	384	18
310.415	0	targetsD3	236	9
310.707	0	targetsT3	216	10
310.947	0	targetsD3	402	11
312.015	0	targetsD3	164	14
312.403	0	targetsD3	206	16
313.357	0	targetsT3	460	19
322.629	0	targetsT2	328	3
323.283	0	targetsD2	264	5
323.577	0	targetsD2	224	6
323.823	0	targetsD2	254	7
324.571	0	targetsD2	244	10
324.843	0	targetsD2	214	11
325.081	0	targetsD2	184	12
325.571	0	targetsD2	194	14
326.021	0	targetsD2	236	16
326.635	0	targetsT2	354	18
339.827	0	targetsD2	270	3
341.835	0	targetsT2	274	11
344.637	0	targetsT2	366	22
377.035	0	targetsT1	250	2
391.245	0	targetsT3	454	7
392.291	0	targetsD3	202	10
392.519	0	targetsD3	300	11
393.517	0	targetsD3	44	14
394.497	0	targetsD3	198	19
