onset	duration	trial_type	fixdur	fixrank
47.183	0	targetsT2	184	1
48.415	0	targetsT2	218	7
50.773	0	targetsT2	166	16
67.013	0	targetsT3	208	4
67.489	0	targetsT3	146	6
69.319	0	targetsT3	222	13
69.875	0	targetsD3	466	15
83.371	0	targetsD2	208	5
84.345	0	targetsT2	362	9
86.157	0	targetsT2	394	16
89.979	0	targetsD2	242	30
102.017	0	targetsT1	392	14
117.259	0	targetsT3	178	4
117.655	0	targetsT3	270	6
119.427	0	targetsT3	214	12
119.659	0	targetsD3	298	13
120.371	0	targetsD3	232	15
120.899	0	targetsD3	180	17
121.099	0	targetsT3	174	18
131.081	0	targetsT2	458	3
131.805	0	targetsD2	258	5
134.275	0	targetsT2	496	14
170.871	0	targetsT1	212	15
192.083	0	targetsD3	62	1
192.521	0	targetsD3	222	4
193.049	0	targetsD3	378	6
194.015	0	targetsD3	164	9
194.423	0	targetsD3	226	11
194.675	0	targetsD3	72	12
194.791	0	targetsD3	340	13
195.393	0	targetsT3	200	15
195.921	0	targetsT3	382	17
196.325	0	targetsD3	238	18
196.591	0	targetsD3	244	19
197.133	0	targetsT3	190	21
243.607	0	targetsT3	192	1
245.539	0	targetsT3	170	9
245.903	0	targetsT3	186	11
246.313	0	targetsT3	238	13
246.925	0	targetsT3	210	15
247.591	0	targetsT3	222	18
294.389	0	targetsD1	188	1
295.513	0	targetsD1	174	6
295.925	0	targetsD1	158	8
297.253	0	targetsD1	230	14
297.505	0	targetsD1	182	15
298.435	0	targetsT1	182	19
313.311	0	targetsD1	266	19
333.347	0	targetsD2	120	1
333.831	0	targetsD2	160	3
334.443	0	targetsT2	502	5
334.973	0	targetsD2	520	6
335.527	0	targetsD2	178	7
336.109	0	targetsD2	174	9
336.547	0	targetsD2	182	11
336.759	0	targetsT2	328	12
337.291	0	targetsD2	284	14
337.777	0	targetsD2	264	16
339.283	0	targetsD2	218	21
340.349	0	targetsD2	248	25
341.647	0	targetsT2	280	30
341.963	0	targetsD2	96	31
343.183	0	targetsT2	318	36
354.583	0	targetsD3	210	4
355.021	0	targetsD3	224	6
358.513	0	targetsD3	174	18
358.727	0	targetsT3	238	19
359.225	0	targetsD3	286	21
369.487	0	targetsT1	158	1
370.717	0	targetsT1	138	6
371.095	0	targetsT1	212	8
390.517	0	targetsT2	434	6
392.193	0	targetsT2	462	11
396.057	0	targetsT2	372	25
397.959	0	targetsT2	292	31
399.427	0	targetsD2	168	36
412.855	0	targetsT2	352	5
414.785	0	targetsD2	250	12
415.739	0	targetsD2	164	16
416.933	0	targetsT2	440	21
