onset	duration	trial_type	fixdur	fixrank
34.031	0	targetsT2	276	13
34.671	0	targetsT2	256	15
44.165	0	targetsT2	336	5
45.679	0	targetsT2	246	9
59.749	0	targetsT3	136	1
59.911	0	targetsD3	140	2
60.063	0	targetsD3	222	3
60.313	0	targetsT3	528	4
61.189	0	targetsD3	230	6
61.891	0	targetsT3	234	9
62.153	0	targetsD3	296	10
63.089	0	targetsT3	266	13
64.091	0	targetsT3	264	16
74.025	0	targetsT3	112	1
74.151	0	targetsD3	326	2
74.517	0	targetsT3	342	3
74.889	0	targetsD3	448	4
75.379	0	targetsD3	588	5
76.013	0	targetsT3	262	6
76.301	0	targetsD3	402	7
76.733	0	targetsD3	320	8
77.085	0	targetsD3	264	9
77.391	0	targetsT3	402	10
78.693	0	targetsD3	322	13
79.049	0	targetsD3	256	14
79.927	0	targetsD3	278	16
150.621	0	targetsD2	304	5
152.179	0	targetsD2	490	9
153.817	0	targetsD2	314	13
154.157	0	targetsT2	294	14
154.479	0	targetsD2	280	15
154.789	0	targetsT2	256	16
166.453	0	targetsT1	398	2
168.743	0	targetsT1	626	8
170.045	0	targetsT1	534	11
170.625	0	targetsD1	348	12
187.947	0	targetsD1	258	11
199.037	0	targetsT3	248	2
199.303	0	targetsT3	408	3
201.143	0	targetsT3	496	8
228.145	0	targetsD2	228	5
230.885	0	targetsT2	342	13
250.535	0	targetsT1	264	11
260.131	0	targetsD3	434	1
261.159	0	targetsD3	146	3
261.369	0	targetsD3	332	4
262.187	0	targetsD3	330	6
263.105	0	targetsD3	496	9
264.711	0	targetsT3	528	14
276.409	0	targetsD3	160	1
276.599	0	targetsT3	480	2
277.153	0	targetsD3	324	3
277.755	0	targetsT3	242	5
278.271	0	targetsT3	226	7
279.111	0	targetsT3	260	10
373.445	0	targetsT2	344	5
375.981	0	targetsD2	350	13
376.381	0	targetsD2	274	14
376.959	0	targetsD2	610	16
391.159	0	targetsT3	312	3
391.489	0	targetsT3	308	4
392.331	0	targetsT3	368	6
393.573	0	targetsT3	270	9
393.863	0	targetsD3	248	10
407.419	0	targetsD1	108	2
409.023	0	targetsD1	560	8
410.259	0	targetsD1	280	11
410.563	0	targetsT1	268	12
