onset	duration	trial_type	fixdur	fixrank
16.714	0	targetsT1	162	9
17.094	0	targetsT1	288	11
46.972	0	targetsD1	232	2
49.06	0	targetsD1	400	11
49.5	0	targetsT1	106	12
49.632	0	targetsD1	172	13
49.844	0	targetsT1	198	14
64.906	0	targetsT1	206	11
65.328	0	targetsT1	230	13
96.784	0	targetsT3	198	8
97.674	0	targetsD3	292	11
98.614	0	targetsT3	368	14
99.002	0	targetsD3	154	15
99.178	0	targetsT3	192	16
99.604	0	targetsT3	236	18
108.784	0	targetsT2	478	2
110.228	0	targetsD2	262	6
113.664	0	targetsT2	226	19
141.26	0	targetsD2	308	2
141.906	0	targetsD2	384	4
142.63	0	targetsT2	468	6
144.156	0	targetsD2	162	11
144.344	0	targetsT2	240	12
146.216	0	targetsD2	260	19
188.044	0	targetsD3	290	5
188.372	0	targetsD3	250	6
189.006	0	targetsD3	212	8
189.242	0	targetsD3	290	9
189.562	0	targetsD3	370	10
189.978	0	targetsD3	240	11
190.242	0	targetsT3	266	12
190.53	0	targetsD3	276	13
190.83	0	targetsT3	282	14
191.144	0	targetsT3	158	15
191.324	0	targetsD3	402	16
191.77	0	targetsT3	420	17
192.234	0	targetsD3	274	18
205.768	0	targetsT2	340	4
206.492	0	targetsD2	350	6
234.06	0	targetsT3	358	6
235.384	0	targetsT3	422	11
236.14	0	targetsT3	188	13
236.35	0	targetsD3	220	14
236.596	0	targetsT3	434	15
237.052	0	targetsD3	294	16
246.892	0	targetsT3	184	5
248.432	0	targetsT3	770	10
282.518	0	targetsT3	290	9
283.102	0	targetsT3	570	11
283.696	0	targetsD3	230	12
284.268	0	targetsD3	196	14
284.486	0	targetsD3	442	15
284.966	0	targetsT3	256	16
285.248	0	targetsD3	394	17
299.474	0	targetsT1	316	13
313.878	0	targetsT2	262	6
315.268	0	targetsT2	202	11
315.494	0	targetsD2	222	12
372.05	0	targetsT1	238	2
374.138	0	targetsD1	278	9
374.742	0	targetsD1	266	11
375.03	0	targetsD1	238	12
375.302	0	targetsD1	220	13
375.566	0	targetsD1	242	14
