onset	duration	trial_type	fixdur	fixrank
17.097	0	targetsT1	434	15
44.793	0	targetsD1	234	2
47.707	0	targetsD1	276	12
48.365	0	targetsD1	348	14
48.785	0	targetsD1	248	15
49.065	0	targetsD1	252	16
49.687	0	targetsT1	242	18
73.687	0	targetsT1	380	2
108.809	0	targetsT2	408	7
110.163	0	targetsD2	246	11
131.417	0	targetsT1	372	16
148.157	0	targetsT3	218	9
148.651	0	targetsT3	336	11
149.357	0	targetsT3	302	13
149.725	0	targetsD3	294	14
150.049	0	targetsT3	58	15
151.449	0	targetsT3	326	19
151.809	0	targetsD3	286	20
162.323	0	targetsD2	240	4
162.585	0	targetsD2	258	5
163.101	0	targetsD2	242	7
163.373	0	targetsD2	384	8
164.373	0	targetsT2	242	11
166.353	0	targetsT2	264	17
167.167	0	targetsD2	300	19
177.525	0	targetsD3	264	1
177.851	0	targetsT3	350	2
180.827	0	targetsD3	358	11
181.231	0	targetsT3	288	12
181.545	0	targetsT3	500	13
182.095	0	targetsD3	226	14
194.923	0	targetsT2	208	4
198.427	0	targetsD2	210	15
198.879	0	targetsD2	282	17
199.557	0	targetsT2	276	19
210.689	0	targetsT3	104	1
211.867	0	targetsT3	212	5
212.633	0	targetsT3	358	8
214.447	0	targetsD3	176	13
214.641	0	targetsT3	404	14
215.071	0	targetsD3	204	15
215.665	0	targetsD3	318	17
216.333	0	targetsD3	304	19
216.669	0	targetsT3	520	20
229.733	0	targetsD2	444	7
230.255	0	targetsT2	226	8
232.733	0	targetsT2	416	15
279.939	0	targetsT3	102	1
281.463	0	targetsT3	308	7
282.763	0	targetsT3	256	11
283.461	0	targetsD3	468	13
283.971	0	targetsD3	400	14
284.391	0	targetsT3	402	15
298.617	0	targetsD3	244	13
298.895	0	targetsT3	556	14
299.493	0	targetsD3	328	15
300.299	0	targetsT3	292	17
316.393	0	targetsT1	494	16
361.651	0	targetsT1	284	12
362.295	0	targetsT1	130	14
362.977	0	targetsD1	338	16
363.785	0	targetsD1	268	18
377.093	0	targetsT2	322	5
377.819	0	targetsT2	712	7
392.327	0	targetsD3	50	1
392.413	0	targetsD3	86	2
393.559	0	targetsD3	228	5
395.137	0	targetsD3	384	7
395.569	0	targetsD3	200	8
395.781	0	targetsD3	246	9
396.335	0	targetsD3	248	11
396.649	0	targetsD3	28	12
397.035	0	targetsT3	356	13
397.783	0	targetsT3	528	14
