onset	duration	trial_type	fixdur	fixrank
34.391	0	targetsT2	172	14
34.997	0	targetsT2	584	16
35.609	0	targetsT2	386	17
38.143	0	targetsD2	490	23
70.645	0	targetsD1	456	10
72.657	0	targetsT1	412	15
105.189	0	targetsD3	180	1
105.819	0	targetsD3	266	3
106.431	0	targetsD3	348	5
107.577	0	targetsT3	550	8
108.643	0	targetsT3	606	10
110.017	0	targetsD3	174	12
111.409	0	targetsT3	324	15
111.753	0	targetsD3	416	16
165.397	0	targetsT3	350	3
166.451	0	targetsT3	184	5
167.271	0	targetsT3	582	8
169.073	0	targetsT3	914	12
182.581	0	targetsT1	540	9
217.315	0	targetsT1	596	13
234.011	0	targetsD1	242	2
236.077	0	targetsD1	276	7
236.741	0	targetsD1	326	9
237.091	0	targetsT1	426	10
238.837	0	targetsD1	284	13
239.589	0	targetsD1	346	15
259.159	0	targetsT1	550	7
274.335	0	targetsT3	324	1
275.029	0	targetsT3	488	3
276.159	0	targetsT3	634	5
277.971	0	targetsD3	286	8
291.065	0	targetsD2	496	5
293.845	0	targetsT2	600	11
296.065	0	targetsT2	908	16
309.465	0	targetsT3	646	1
310.629	0	targetsD3	298	3
313.035	0	targetsD3	470	8
313.949	0	targetsD3	276	10
315.075	0	targetsD3	280	12
316.157	0	targetsD3	454	15
316.647	0	targetsT3	154	16
326.685	0	targetsT2	424	3
327.129	0	targetsT2	886	4
328.059	0	targetsT2	178	5
332.713	0	targetsD2	316	16
367.289	0	targetsT2	188	10
367.805	0	targetsT2	360	12
369.153	0	targetsD2	294	16
372.141	0	targetsT2	172	23
382.229	0	targetsD3	534	1
384.041	0	targetsD3	300	5
387.621	0	targetsT3	530	12
401.153	0	targetsD2	292	3
401.467	0	targetsD2	334	4
401.823	0	targetsD2	440	5
402.289	0	targetsT2	598	6
402.903	0	targetsD2	346	7
403.273	0	targetsD2	412	8
404.239	0	targetsD2	328	10
404.615	0	targetsD2	482	11
405.119	0	targetsD2	326	12
406.037	0	targetsD2	352	14
406.867	0	targetsT2	638	16
407.529	0	targetsD2	392	17
421.621	0	targetsT2	254	5
421.897	0	targetsD2	558	6
422.521	0	targetsT2	130	7
422.665	0	targetsT2	524	8
426.105	0	targetsD2	314	16
440.067	0	targetsT1	268	2
