onset	duration	trial_type	fixdur	fixrank
17.047	0	targetsT1	474	12
17.849	0	targetsT1	522	14
31.517	0	targetsT1	292	18
43.457	0	targetsT2	62	10
46.137	0	targetsT2	356	20
46.975	0	targetsT2	502	22
48.007	0	targetsT2	538	24
60.599	0	targetsT3	136	14
61.079	0	targetsT3	198	16
61.593	0	targetsT3	240	18
62.435	0	targetsT3	302	21
62.943	0	targetsD3	180	23
63.443	0	targetsT3	274	25
75.037	0	targetsT2	640	4
76.295	0	targetsT2	196	7
90.889	0	targetsD1	454	5
91.385	0	targetsT1	494	6
93.059	0	targetsD1	166	11
93.247	0	targetsD1	182	12
93.713	0	targetsD1	312	14
107.707	0	targetsT2	154	6
108.229	0	targetsT2	332	8
112.661	0	targetsD2	330	22
113.353	0	targetsD2	284	24
166.865	0	targetsD2	536	9
168.169	0	targetsT2	628	12
170.703	0	targetsD2	248	20
232.257	0	targetsD2	182	4
232.709	0	targetsD2	166	6
232.895	0	targetsD2	416	7
233.355	0	targetsD2	168	8
233.543	0	targetsT2	350	9
233.919	0	targetsD2	254	10
234.535	0	targetsD2	454	12
252.087	0	targetsT1	256	11
266.667	0	targetsT1	548	5
267.249	0	targetsD1	208	6
271.577	0	targetsD1	298	18
285.113	0	targetsT3	180	6
285.507	0	targetsT3	126	8
285.857	0	targetsT3	266	10
287.015	0	targetsT3	182	14
287.593	0	targetsT3	174	16
289.113	0	targetsD3	268	21
289.797	0	targetsD3	212	23
290.211	0	targetsD3	734	25
300.677	0	targetsT3	584	3
305.915	0	targetsD3	724	16
307.121	0	targetsT3	440	18
308.653	0	targetsD3	244	21
309.227	0	targetsT3	410	23
309.691	0	targetsT3	274	24
338.237	0	targetsT3	362	1
339.407	0	targetsT3	310	4
340.437	0	targetsT3	272	7
343.447	0	targetsD3	504	16
352.549	0	targetsD3	414	2
354.747	0	targetsT3	968	9
356.565	0	targetsD3	392	14
358.089	0	targetsD3	102	18
358.645	0	targetsT3	932	20
368.093	0	targetsD3	188	1
368.297	0	targetsT3	388	2
368.703	0	targetsD3	428	3
369.183	0	targetsD3	256	4
369.729	0	targetsD3	182	6
369.949	0	targetsD3	360	7
370.361	0	targetsD3	372	8
370.769	0	targetsD3	274	9
371.061	0	targetsD3	270	10
372.429	0	targetsD3	288	14
374.037	0	targetsD3	280	18
374.687	0	targetsD3	234	20
374.937	0	targetsT3	144	21
375.279	0	targetsT3	250	23
375.551	0	targetsD3	288	24
