onset	duration	trial_type	fixdur	fixrank
29.974	0	targetsD3	256	2
30.27	0	targetsT3	548	3
33.994	0	targetsT3	148	16
34.168	0	targetsT3	180	17
34.374	0	targetsT3	404	18
47.276	0	targetsT2	238	2
51.23	0	targetsD2	292	17
51.558	0	targetsT2	454	18
52.476	0	targetsD2	356	21
52.868	0	targetsT2	178	22
77.024	0	targetsD2	200	2
79.534	0	targetsD2	222	13
80.1	0	targetsD2	172	15
80.49	0	targetsD2	256	17
81.602	0	targetsT2	132	21
81.758	0	targetsD2	216	22
82.01	0	targetsT2	234	23
82.472	0	targetsT2	166	25
124.788	0	targetsD3	262	2
125.084	0	targetsD3	168	3
125.506	0	targetsD3	206	5
125.892	0	targetsD3	252	7
126.192	0	targetsT3	458	8
128.318	0	targetsD3	182	16
128.518	0	targetsD3	254	17
128.798	0	targetsD3	152	18
128.98	0	targetsD3	364	19
129.63	0	targetsT3	376	21
130.034	0	targetsD3	224	22
130.522	0	targetsT3	376	24
144.83	0	targetsT1	298	14
150.88	0	targetsT1	236	35
168.724	0	targetsT2	272	14
169.698	0	targetsT2	218	17
172.182	0	targetsT2	214	26
172.426	0	targetsT2	478	27
183.422	0	targetsT2	442	2
183.9	0	targetsT2	286	3
188.574	0	targetsD2	286	23
189.06	0	targetsD2	360	25
204.86	0	targetsT3	242	2
205.704	0	targetsD3	248	5
206.29	0	targetsD3	254	8
208.32	0	targetsD3	256	16
208.602	0	targetsT3	210	17
208.836	0	targetsD3	248	18
209.718	0	targetsD3	276	21
210.028	0	targetsT3	236	22
210.69	0	targetsD3	282	24
226.552	0	targetsT1	290	19
244.84	0	targetsT1	210	19
307.794	0	targetsT2	408	5
311.866	0	targetsT2	234	20
312.12	0	targetsT2	512	21
312.656	0	targetsT2	386	22
313.074	0	targetsT2	184	23
313.494	0	targetsD2	224	25
328.116	0	targetsT1	260	5
328.808	0	targetsD1	182	8
330.432	0	targetsD1	268	14
330.738	0	targetsD1	188	15
331.22	0	targetsD1	250	17
331.778	0	targetsD1	238	19
335.912	0	targetsD1	304	35
346.27	0	targetsT3	458	5
347.014	0	targetsT3	208	7
349.81	0	targetsT3	284	18
383.91	0	targetsT1	122	15
384.322	0	targetsT1	374	17
402.722	0	targetsD2	266	2
403.012	0	targetsD2	190	3
403.478	0	targetsD2	130	5
405.58	0	targetsT2	108	13
405.716	0	targetsD2	362	14
406.122	0	targetsT2	366	15
406.802	0	targetsT2	194	17
407.02	0	targetsD2	240	18
407.468	0	targetsD2	424	20
407.94	0	targetsD2	250	21
408.224	0	targetsD2	108	22
408.354	0	targetsD2	224	23
408.766	0	targetsT2	222	25
409.03	0	targetsD2	348	26
409.392	0	targetsD2	244	27
419.386	0	targetsD1	152	5
420.176	0	targetsT1	244	8
423.194	0	targetsD1	292	19
437.19	0	targetsT3	592	2
438.37	0	targetsT3	400	5
441.44	0	targetsT3	206	16
441.662	0	targetsD3	158	17
442.112	0	targetsT3	406	19
