onset	duration	trial_type	fixdur	fixrank
10.228	0	targetsT1	240	1
10.948	0	targetsT1	324	3
28.174	0	targetsD1	136	1
28.716	0	targetsD1	220	3
28.958	0	targetsD1	298	4
29.556	0	targetsT1	450	6
31.546	0	targetsT1	180	11
34.636	0	targetsD1	402	19
35.578	0	targetsD1	498	21
50.514	0	targetsD1	342	6
52.346	0	targetsD1	214	11
56.73	0	targetsT1	384	23
66.322	0	targetsT3	98	1
68.154	0	targetsT3	136	8
68.74	0	targetsT3	232	10
70.444	0	targetsT3	544	15
73.202	0	targetsT3	630	22
84.204	0	targetsD3	250	8
84.48	0	targetsT3	184	9
86.532	0	targetsD3	412	15
88.124	0	targetsD3	366	19
88.506	0	targetsT3	526	20
102.188	0	targetsT3	470	6
102.68	0	targetsT3	1196	7
103.936	0	targetsT3	236	8
106.59	0	targetsT3	492	15
117.992	0	targetsT2	870	2
119.648	0	targetsT2	120	5
123.866	0	targetsT2	502	18
138.42	0	targetsD2	136	1
138.58	0	targetsD2	78	2
138.694	0	targetsD2	220	3
139.212	0	targetsD2	314	5
139.866	0	targetsD2	274	8
140.178	0	targetsD2	352	9
141.534	0	targetsD2	278	13
142.16	0	targetsT2	404	15
143.126	0	targetsD2	406	18
143.57	0	targetsD2	316	19
145.024	0	targetsT2	422	23
196.714	0	targetsD2	262	2
197.014	0	targetsT2	500	3
197.894	0	targetsD2	336	5
199.184	0	targetsD2	34	9
199.954	0	targetsT2	290	13
203.168	0	targetsD2	246	22
203.472	0	targetsD2	312	23
214.902	0	targetsT3	164	2
215.392	0	targetsT3	382	4
217.774	0	targetsD3	114	8
219.12	0	targetsT3	176	12
219.744	0	targetsD3	274	15
220.876	0	targetsD3	166	19
221.41	0	targetsD3	280	21
234.89	0	targetsT2	526	2
236.168	0	targetsT2	250	5
237.202	0	targetsT2	262	9
239.386	0	targetsD2	324	15
260.218	0	targetsT1	486	21
272.024	0	targetsD3	22	1
272.076	0	targetsD3	82	2
272.294	0	targetsD3	248	4
273.002	0	targetsD3	278	6
273.304	0	targetsD3	344	7
273.682	0	targetsT3	246	8
273.956	0	targetsD3	488	9
274.536	0	targetsD3	324	10
275.26	0	targetsD3	372	12
276.084	0	targetsD3	434	14
276.556	0	targetsD3	404	15
277.066	0	targetsD3	280	17
277.712	0	targetsT3	338	19
278.074	0	targetsD3	396	20
278.498	0	targetsT3	436	21
278.966	0	targetsD3	312	22
295.746	0	targetsD3	280	8
297.908	0	targetsT3	450	14
298.394	0	targetsT3	444	15
299.258	0	targetsT3	192	17
299.676	0	targetsT3	514	19
315.662	0	targetsT1	364	19
328.914	0	targetsT2	40	1
330.826	0	targetsT2	400	8
331.266	0	targetsT2	420	9
426.998	0	targetsT2	552	19
428.29	0	targetsT2	690	22
441.268	0	targetsT1	500	4
449.422	0	targetsD1	342	23
