onset	duration	trial_type	fixdur	fixrank
16.467	0	targetsT1	474	7
89.783	0	targetsD1	214	7
91.483	0	targetsT1	520	13
92.581	0	targetsD1	284	15
93.289	0	targetsD1	254	17
93.969	0	targetsD1	200	19
119.589	0	targetsT3	422	5
122.747	0	targetsD3	254	14
124.285	0	targetsT3	392	18
135.545	0	targetsD3	218	2
135.811	0	targetsT3	336	3
136.517	0	targetsD3	340	5
136.895	0	targetsD3	284	6
137.515	0	targetsT3	408	8
137.947	0	targetsT3	452	9
138.429	0	targetsD3	372	10
139.219	0	targetsD3	226	12
139.735	0	targetsD3	234	14
140.425	0	targetsD3	144	16
151.987	0	targetsT2	440	8
153.323	0	targetsT2	382	11
156.995	0	targetsD2	288	21
173.195	0	targetsT1	434	19
183.899	0	targetsD2	288	2
184.247	0	targetsD2	566	3
184.867	0	targetsD2	416	4
186.295	0	targetsD2	314	8
186.633	0	targetsD2	260	9
186.945	0	targetsT2	766	10
187.785	0	targetsD2	278	11
188.087	0	targetsD2	302	12
188.775	0	targetsD2	348	14
189.583	0	targetsD2	558	16
190.215	0	targetsD2	438	17
190.697	0	targetsT2	938	18
192.653	0	targetsT2	206	21
222.239	0	targetsT2	688	2
228.351	0	targetsT2	384	17
257.489	0	targetsD3	308	3
258.141	0	targetsD3	414	5
258.601	0	targetsT3	500	6
259.647	0	targetsD3	368	8
260.059	0	targetsD3	336	9
262.425	0	targetsT3	450	14
264.173	0	targetsD3	388	18
264.931	0	targetsT3	294	20
281.749	0	targetsT2	510	12
283.275	0	targetsT2	610	16
293.161	0	targetsT3	330	2
298.273	0	targetsT3	494	16
310.031	0	targetsT3	468	5
312.139	0	targetsT3	456	10
313.857	0	targetsT3	424	14
315.149	0	targetsD3	292	18
315.739	0	targetsD3	416	20
328.453	0	targetsT2	382	4
331.285	0	targetsT2	356	9
347.945	0	targetsT3	296	12
349.871	0	targetsT3	444	18
369.369	0	targetsT1	490	17
400.761	0	targetsD1	412	13
401.615	0	targetsT1	530	15
416.495	0	targetsT2	414	3
418.981	0	targetsD2	312	10
420.665	0	targetsT2	396	14
422.375	0	targetsD2	126	18
