onset	duration	trial_type	fixdur	fixrank
15.162	0	targetsT2	320	10
17.28	0	targetsT2	460	15
18.414	0	targetsD2	348	18
48.002	0	targetsD2	126	1
49.602	0	targetsD2	302	6
51.002	0	targetsD2	310	10
51.352	0	targetsD2	326	11
51.706	0	targetsD2	420	12
52.228	0	targetsD2	528	13
52.966	0	targetsD2	78	15
53.218	0	targetsD2	248	16
53.84	0	targetsT2	504	18
69.64	0	targetsD3	246	3
70.264	0	targetsD3	272	5
70.932	0	targetsD3	346	7
71.81	0	targetsD3	88	9
72.246	0	targetsD3	236	11
72.686	0	targetsD3	288	13
73.678	0	targetsT3	304	15
74.092	0	targetsT3	456	16
75.052	0	targetsD3	444	18
75.546	0	targetsD3	132	19
75.688	0	targetsT3	314	20
76.048	0	targetsD3	32	21
89.042	0	targetsT1	384	11
121.402	0	targetsD1	420	5
122.166	0	targetsT1	374	7
126.442	0	targetsD1	288	19
161.322	0	targetsD2	94	10
162.852	0	targetsT2	424	16
163.46	0	targetsD2	52	18
164.608	0	targetsT2	438	22
177.036	0	targetsT2	38	1
178.49	0	targetsT2	288	6
180.49	0	targetsT2	442	11
184.588	0	targetsD2	308	22
197.284	0	targetsD3	352	5
199.334	0	targetsT3	396	11
200.104	0	targetsT3	438	13
214.33	0	targetsT2	460	10
216.748	0	targetsT2	440	18
232.932	0	targetsT1	516	5
272.99	0	targetsT3	404	3
273.822	0	targetsT3	308	5
275.41	0	targetsT3	592	9
276.926	0	targetsD3	226	13
277.482	0	targetsD3	272	15
277.804	0	targetsD3	284	16
289.084	0	targetsD1	320	3
290.042	0	targetsD1	340	5
290.77	0	targetsD1	278	7
292.046	0	targetsD1	400	11
295.174	0	targetsT1	386	19
347.2	0	targetsT1	144	3
347.59	0	targetsT1	410	5
382.982	0	targetsD3	110	5
385.224	0	targetsT3	218	13
385.712	0	targetsT3	268	15
386.976	0	targetsD3	306	18
387.338	0	targetsT3	266	19
387.66	0	targetsD3	58	20
388.164	0	targetsT3	216	22
403.458	0	targetsT3	174	5
404.416	0	targetsT3	226	7
406.024	0	targetsD3	60	13
407.382	0	targetsT3	290	18
408.608	0	targetsT3	286	21
409.01	0	targetsD3	224	22
418.834	0	targetsT3	338	5
422.638	0	targetsT3	452	13
423.506	0	targetsD3	332	15
424.54	0	targetsT3	150	18
439.768	0	targetsT2	276	12
440.062	0	targetsT2	534	13
