onset	duration	trial_type	fixdur	fixrank
33.582	0	targetsT1	410	16
48.59	0	targetsT1	418	13
80.146	0	targetsT3	230	6
81.006	0	targetsD3	338	8
84.496	0	targetsT3	58	20
84.916	0	targetsT3	412	22
113.124	0	targetsD3	320	1
113.808	0	targetsT3	414	3
114.248	0	targetsT3	222	4
114.84	0	targetsD3	284	6
115.16	0	targetsD3	332	7
115.56	0	targetsD3	312	8
118.384	0	targetsT3	250	17
133.16	0	targetsT3	320	7
133.506	0	targetsT3	456	8
136.61	0	targetsD3	192	17
137.174	0	targetsD3	196	19
138.186	0	targetsD3	320	22
150.484	0	targetsT2	218	2
153.052	0	targetsD2	284	10
155.018	0	targetsT2	100	16
170.772	0	targetsT3	576	6
171.38	0	targetsD3	374	7
171.8	0	targetsT3	244	8
188.398	0	targetsT3	404	1
189.378	0	targetsD3	336	3
189.758	0	targetsD3	224	4
190.308	0	targetsD3	406	6
190.762	0	targetsT3	622	7
192.348	0	targetsD3	386	10
202.482	0	targetsT2	178	2
205.186	0	targetsT2	366	10
205.578	0	targetsD2	306	11
207.274	0	targetsD2	286	16
207.828	0	targetsD2	262	18
208.112	0	targetsD2	278	19
225.484	0	targetsT3	426	10
228.652	0	targetsT3	268	19
228.944	0	targetsD3	264	20
241.706	0	targetsT2	298	1
242.046	0	targetsT2	436	2
263.378	0	targetsT1	524	9
280.252	0	targetsD2	348	1
280.636	0	targetsD2	316	2
281.534	0	targetsD2	218	5
283.076	0	targetsD2	406	9
283.514	0	targetsD2	296	10
283.85	0	targetsT2	722	11
286.88	0	targetsT2	496	18
301.756	0	targetsD1	248	2
306.142	0	targetsT1	322	15
320.19	0	targetsD2	380	2
321.354	0	targetsT2	420	5
325.96	0	targetsT2	656	19
339.884	0	targetsT1	248	3
357.128	0	targetsD2	270	2
359.562	0	targetsT2	610	9
360.224	0	targetsT2	484	10
409.158	0	targetsT1	216	2
409.398	0	targetsD1	162	3
411.4	0	targetsD1	60	9
412.744	0	targetsD1	294	13
413.434	0	targetsD1	286	15
413.75	0	targetsD1	276	16
